OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Window,Overlap
pemzvif,acc,122,47,7347,14,0.4918032786885246,0.09016393442622951,11,1.0,0.48936170212765956,23,0.0,2.0,25,0.0
pemzvif,gyr,122,47,6744,14,0.5,0.09836065573770492,12,0.5957446808510638,0.1702127659574468,8,0.0,2.0,25,0.0
pemzvif,all,244,94,14091,14,0.4959016393442623,0.09016393442622951,22,0.7978723404255319,0.3191489361702128,30,0.0,2.0,25,0.0
4l9kvp8,acc,148,58,7310,14,0.5067567567567568,0.13513513513513514,20,0.7068965517241379,0.27586206896551724,16,0.001158202876415935,2.0,25,0.0
4l9kvp8,gyr,148,57,6708,14,0.5067567567567568,0.10135135135135136,15,0.5263157894736842,0.10526315789473684,6,0.30716717287394263,5.5,25,0.0
4l9kvp8,all,296,115,14018,14,0.5067567567567568,0.12162162162162163,36,0.6173913043478261,0.17391304347826086,20,0.14664412250840422,2.5714285714285716,25,0.0
ftk8v41,acc,505,216,6795,14,0.499009900990099,0.10891089108910891,55,0.7361111111111112,0.25925925925925924,56,0.09790594154998822,6.857142857142857,25,0.0
ftk8v41,gyr,504,215,6194,14,0.501984126984127,0.125,63,0.7209302325581395,0.24186046511627907,52,0.42289636820334636,23.5,25,0.0
ftk8v41,all,1009,431,12989,14,0.5004955401387512,0.11892963330029732,120,0.728538283062645,0.2529002320185615,109,0.25303961418596904,9.642857142857142,25,0.0
vk43uke,acc,594,221,6701,14,0.5016835016835017,0.11616161616161616,69,0.995475113122172,0.49321266968325794,109,0.073497424253995,10.428571428571429,25,0.0
vk43uke,gyr,574,246,6093,14,0.5017421602787456,0.10801393728222997,62,0.524390243902439,0.15447154471544716,38,0.29530106812632806,3.4285714285714284,25,0.0
vk43uke,all,1168,467,12794,14,0.5017123287671232,0.11301369863013698,132,0.7473233404710921,0.3147751605995717,147,0.1845912607649732,12.928571428571429,25,0.0
06mdn3c,acc,134,53,7329,14,0.4925373134328358,0.1044776119402985,14,0.6037735849056604,0.1509433962264151,8,0.012117847357658426,2.0,25,0.0
06mdn3c,gyr,134,53,6726,14,0.5074626865671642,0.11194029850746269,15,0.4528301886792453,0.05660377358490566,3,0.2992299646697491,4.571428571428571,25,0.0
06mdn3c,all,268,106,14055,14,0.5,0.11194029850746269,30,0.5283018867924528,0.09433962264150944,10,0.1476111612612769,2.2857142857142856,25,0.0
lm8ujtt,acc,288,117,7111,14,0.5,0.10069444444444445,29,0.9145299145299145,0.4188034188034188,49,0.01032397127936685,2.0,25,0.0
lm8ujtt,gyr,288,117,6508,14,0.5034722222222222,0.08680555555555555,25,0.5726495726495726,0.13675213675213677,16,0.4834554904659813,18.714285714285715,25,0.0
lm8ujtt,all,576,234,13619,14,0.5017361111111112,0.10416666666666667,60,0.7435897435897436,0.26495726495726496,62,0.23591553765371573,3.0,25,0.0
7f0qwx8,acc,193,81,7242,14,0.49222797927461137,0.12435233160621761,24,0.7160493827160493,0.2345679012345679,19,0.014096826198985252,2.0,25,0.0
7f0qwx8,gyr,195,81,6637,14,0.48717948717948717,0.11282051282051282,22,0.7037037037037037,0.2716049382716049,22,0.3445366720732611,12.857142857142858,25,0.0
7f0qwx8,all,388,162,13879,14,0.4896907216494845,0.12886597938144329,50,0.7098765432098766,0.2654320987654321,43,0.17309919699142956,2.7857142857142856,25,0.0
wksm8wt,acc,120,48,7348,14,0.5083333333333333,0.13333333333333333,16,0.625,0.16666666666666666,8,0.0528728141956649,2.7142857142857144,25,0.0
wksm8wt,gyr,120,48,6745,14,0.49166666666666664,0.10833333333333334,13,0.6666666666666666,0.22916666666666666,11,0.4013369113305033,11.642857142857142,25,0.0
wksm8wt,all,240,96,14093,14,0.5,0.11666666666666667,28,0.6458333333333334,0.19791666666666666,19,0.2180169675290485,3.0714285714285716,25,0.0
r2p4ljs,acc,589,251,6676,14,0.5008488964346349,0.1307300509337861,77,0.7051792828685259,0.26693227091633465,67,0.0899760154177421,3.357142857142857,25,0.0
r2p4ljs,gyr,588,251,6074,14,0.5017006802721088,0.09523809523809523,56,0.6812749003984063,0.21912350597609562,55,0.25865883045675925,4.5,25,0.0
r2p4ljs,all,1177,502,12750,14,0.5012744265080714,0.11384876805437553,134,0.6932270916334662,0.23904382470119523,120,0.16674827903555206,2.857142857142857,25,0.0
b8g4bl5,acc,147,61,7308,14,0.47619047619047616,0.10204081632653061,15,0.6885245901639344,0.21311475409836064,13,0.005514532356326526,2.0,25,0.0
b8g4bl5,gyr,147,61,6705,14,0.5102040816326531,0.08843537414965986,13,0.6229508196721312,0.16393442622950818,10,0.11322962190911835,3.0714285714285716,25,0.0
b8g4bl5,all,294,122,14013,14,0.4931972789115646,0.09863945578231292,29,0.6557377049180327,0.1885245901639344,23,0.05688239379714229,2.4285714285714284,25,0.0
b0602fr,acc,615,258,6643,14,0.5008130081300813,0.13170731707317074,81,0.7015503875968992,0.25193798449612403,65,0.08447153791820898,6.285714285714286,25,0.0
b0602fr,gyr,614,259,6040,14,0.5,0.0993485342019544,61,0.4864864864864865,0.10038610038610038,26,0.3933457995106235,11.928571428571429,25,0.0
b0602fr,all,1229,517,12683,14,0.500406834825061,0.12205044751830757,150,0.5938104448742747,0.172147001934236,89,0.22958788437404123,2.7142857142857144,25,0.0
cp7kjhx,acc,152,60,7304,14,0.4934210526315789,0.09868421052631579,15,0.45,0.05,3,0.23558912309133712,13.214285714285714,25,0.0
cp7kjhx,gyr,152,60,6701,14,0.506578947368421,0.09210526315789473,14,0.5666666666666667,0.11666666666666667,7,0.3879471179501019,6.714285714285714,25,0.0
cp7kjhx,all,304,120,14005,14,0.5,0.09210526315789473,28,0.5083333333333333,0.08333333333333333,10,0.30129633464518013,3.7857142857142856,25,0.0
n0g0zsv,acc,763,45,6708,14,0.49934469200524245,0.14941022280471822,114,0.4,0.044444444444444446,2,0.0,2.0,25,0.0
n0g0zsv,gyr,583,240,6090,14,0.4974271012006861,0.10634648370497427,62,0.7708333333333334,0.2875,69,0.00034061884129118553,2.0,25,0.0
n0g0zsv,all,1346,285,12798,14,0.4985141158989599,0.10698365527488855,144,0.712280701754386,0.24210526315789474,69,0.0001707799645943976,2.0,25,0.0
l1doqao,acc,649,174,6693,14,0.49922958397534667,0.12480739599383667,81,0.603448275862069,0.22988505747126436,40,0.03371658396889867,6.071428571428571,25,0.0
l1doqao,gyr,370,150,6393,14,0.4972972972972973,0.0945945945945946,35,0.48,0.07333333333333333,11,0.16811258516900032,3.0,25,0.0
l1doqao,all,1019,324,13086,14,0.4985279685966634,0.11579980372914622,118,0.5462962962962963,0.1574074074074074,51,0.1027431829193431,7.642857142857143,25,0.0
r13q05q,acc,694,113,6709,14,0.5028818443804035,0.17579250720461095,122,0.8141592920353983,0.3274336283185841,37,0.00026037146328762367,2.0,25,0.0
r13q05q,gyr,343,146,6424,14,0.49854227405247814,0.08454810495626822,29,0.5547945205479452,0.13013698630136986,19,0.23731950942400554,2.4285714285714284,25,0.0
r13q05q,all,1037,259,13133,14,0.5014464802314368,0.1359691417550627,141,0.667953667953668,0.22007722007722008,57,0.11448196909767636,2.142857142857143,25,0.0
pemzvif,acc,127,50,7847,14,0.5118110236220472,0.11023622047244094,14,1.0,0.48,24,0.0,2.0,25,0.1
pemzvif,gyr,127,50,7181,14,0.4881889763779528,0.08661417322834646,11,0.56,0.16,8,0.0,2.0,25,0.1
pemzvif,all,254,100,15028,14,0.5,0.09448818897637795,24,0.78,0.29,29,0.0,2.0,25,0.1
4l9kvp8,acc,152,61,7811,14,0.5,0.125,19,0.7213114754098361,0.29508196721311475,18,0.0019298623597796907,2.0,25,0.1
4l9kvp8,gyr,152,61,7145,14,0.5131578947368421,0.10526315789473684,16,0.6065573770491803,0.14754098360655737,9,0.304704021900944,3.7857142857142856,25,0.1
4l9kvp8,all,304,122,14956,14,0.506578947368421,0.1118421052631579,34,0.6639344262295082,0.20491803278688525,25,0.14563262238646585,2.2857142857142856,25,0.1
ftk8v41,acc,533,228,7263,14,0.50093808630394,0.11069418386491557,59,0.7412280701754386,0.2675438596491228,61,0.10128493609720608,9.285714285714286,25,0.1
ftk8v41,gyr,531,228,6599,14,0.5009416195856874,0.11299435028248588,60,0.6447368421052632,0.18859649122807018,43,0.4323348609235103,19.642857142857142,25,0.1
ftk8v41,all,1064,456,13862,14,0.5009398496240601,0.1137218045112782,121,0.6929824561403509,0.2236842105263158,102,0.2590391445286134,11.714285714285714,25,0.1
vk43uke,acc,641,239,7144,14,0.49765990639625585,0.11232449297971919,72,0.9916317991631799,0.4895397489539749,117,0.06994566881496482,14.857142857142858,25,0.1
vk43uke,gyr,621,265,6472,14,0.4975845410628019,0.11272141706924316,70,0.5169811320754717,0.13962264150943396,37,0.287803858688711,3.5714285714285716,25,0.1
vk43uke,all,1262,504,13616,14,0.4976228209191759,0.11489698890649762,145,0.7420634920634921,0.30753968253968256,155,0.17901765083377333,12.071428571428571,25,0.1
06mdn3c,acc,143,57,7824,14,0.48951048951048953,0.1048951048951049,15,0.7017543859649122,0.21052631578947367,12,0.009145393303722204,2.0,25,0.1
06mdn3c,gyr,143,56,7159,14,0.4825174825174825,0.0979020979020979,14,0.5714285714285714,0.14285714285714285,8,0.26484534991551834,3.2857142857142856,25,0.1
06mdn3c,all,286,113,14983,14,0.486013986013986,0.10139860139860139,29,0.6371681415929203,0.17699115044247787,20,0.12964922401131704,2.2857142857142856,25,0.1
lm8ujtt,acc,311,124,7589,14,0.4983922829581994,0.09646302250803858,30,0.9193548387096774,0.4274193548387097,53,0.011043485041802584,2.0,25,0.1
lm8ujtt,gyr,310,124,6924,14,0.4967741935483871,0.1032258064516129,32,0.5241935483870968,0.11290322580645161,14,0.5099000660961931,18.357142857142858,25,0.1
lm8ujtt,all,621,248,14513,14,0.4975845410628019,0.10144927536231885,63,0.7217741935483871,0.25,62,0.2486164984529478,3.0,25,0.1
7f0qwx8,acc,199,84,7741,14,0.49748743718592964,0.1306532663316583,26,0.8333333333333334,0.34523809523809523,29,0.015622548922434443,2.0,25,0.1
7f0qwx8,gyr,201,84,7073,14,0.4975124378109453,0.11442786069651742,23,0.7142857142857143,0.27380952380952384,23,0.33122591057710965,5.857142857142857,25,0.1
7f0qwx8,all,400,168,14814,14,0.4975,0.125,50,0.7738095238095238,0.31547619047619047,53,0.16728150087927515,2.857142857142857,25,0.1
wksm8wt,acc,126,52,7846,14,0.5079365079365079,0.1349206349206349,17,0.5961538461538461,0.15384615384615385,8,0.06333526424820193,4.285714285714286,25,0.1
wksm8wt,gyr,127,52,7179,14,0.5039370078740157,0.10236220472440945,13,0.6730769230769231,0.21153846153846154,11,0.3807213915013314,6.857142857142857,25,0.1
wksm8wt,all,253,104,15025,14,0.5059288537549407,0.11462450592885376,29,0.6346153846153846,0.19230769230769232,20,0.21321340038898745,3.0714285714285716,25,0.1
