OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
7nv0i9p,acc,185,78,4676,14,0.054054054,0,0,0.08974359,0,0,0.412550609,31.35714286,0.05,0.0005
7nv0i9p,gyr,184,78,4619,14,0.043478261,0,0,0.012820513,0,0,0.704367234,72.78571429,0.05,0.0005
7nv0i9p,swp,0,0,0,0,,,,,,,,,0.05,0.0005
7nv0i9p,tap,915,391,19230,14,0.048087432,0,0,0.056265985,0,0,0.858679482,763.5,0.05,0.0005
1l967s6,acc,181,78,4680,14,0.049723757,0,0,0.358974359,0.128205128,10,0.053036023,3.428571429,0.05,0.0005
1l967s6,gyr,182,78,4621,14,0.054945055,0,0,0.128205128,0.012820513,1,0.421683857,13.5,0.05,0.0005
1l967s6,swp,0,0,0,0,,,,,,,,,0.05,0.0005
1l967s6,tap,1266,541,18729,14,0.049763033,0,0,0.064695009,0,0,0.864042125,727.7142857,0.05,0.0005
3pmv9aq,acc,295,126,4518,14,0.047457627,0.003389831,1,0.119047619,0.007936508,1,0.424423181,28,0.05,0.0005
3pmv9aq,gyr,294,126,4461,14,0.054421769,0,0,0.253968254,0.007936508,1,0.89575326,172.5,0.05,0.0005
3pmv9aq,swp,0,0,0,0,,,,,,,,,0.05,0.0005
3pmv9aq,tap,1401,599,18536,14,0.026409707,0,0,0.026711185,0,0,0.968292673,1292.928571,0.05,0.0005
rfagb10,acc,113,44,4782,14,0.053097345,0,0,0.318181818,0.068181818,3,0.181050331,6.785714286,0.05,0.0005
rfagb10,gyr,112,44,4725,14,0.0625,0,0,0.068181818,0,0,0.90160699,200.4285714,0.05,0.0005
rfagb10,swp,0,0,0,0,,,,,,,,,0.05,0.0005
rfagb10,tap,447,190,19899,14,0.051454139,0,0,0.084210526,0,0,0.849690452,806.0714286,0.05,0.0005
508rk86,acc,286,114,4539,14,0.048951049,0.003496503,1,0.289473684,0.087719298,10,0.023724256,2.142857143,0.05,0.0005
508rk86,gyr,255,93,4533,14,0.047058824,0,0,0.139784946,0,0,0.734446528,72.78571429,0.05,0.0005
508rk86,swp,0,0,0,0,,,,,,,,,0.05,0.0005
508rk86,tap,211,89,20236,14,0.023696682,0,0,0.04494382,0,0,0.967655002,1445.428571,0.05,0.0005
ioxyr9y,acc,364,153,4422,14,0.046703297,0,0,0.019607843,0,0,0.763711325,118.9285714,0.05,0.0005
ioxyr9y,gyr,365,153,4363,14,0.049315068,0,0,0.006535948,0,0,0.867410795,142.4285714,0.05,0.0005
ioxyr9y,swp,0,0,0,0,,,,,,,,,0.05,0.0005
ioxyr9y,tap,1401,599,18536,14,0.048536759,0,0,0.088480801,0,0,0.928701985,1092.285714,0.05,0.0005
1uep0cy,acc,98,39,4802,14,0.040816327,0,0,0.641025641,0.282051282,11,0.058452562,2.642857143,0.05,0.0005
1uep0cy,gyr,98,39,4744,14,0.06122449,0,0,0.025641026,0,0,0.722178821,91.5,0.05,0.0005
1uep0cy,swp,0,0,0,0,,,,,,,,,0.05,0.0005
1uep0cy,tap,706,301,19529,14,0.053824363,0,0,0.063122924,0,0,0.815118817,748.7142857,0.05,0.0005
gy48qmy,acc,96,41,4802,14,0.041666667,0,0,0.073170732,0,0,0.12641895,10.85714286,0.05,0.0005
gy48qmy,gyr,96,41,4744,14,0.0625,0,0,0.048780488,0,0,0.802038628,104.2857143,0.05,0.0005
gy48qmy,swp,0,0,0,0,,,,,,,,,0.05,0.0005
gy48qmy,tap,525,223,19788,14,0.045714286,0,0,0.040358744,0,0,0.937196064,1278.285714,0.05,0.0005
pf3v1xv,acc,149,61,4729,14,0.046979866,0,0,0.131147541,0,0,0.209282559,10.14285714,0.05,0.0005
pf3v1xv,gyr,147,61,4673,14,0.047619048,0,0,0.147540984,0,0,0.918165786,241.4285714,0.05,0.0005
pf3v1xv,swp,0,0,0,0,,,,,,,,,0.05,0.0005
pf3v1xv,tap,1092,466,18978,14,0.087912088,0,0,0.143776824,0,0,0.920609318,1200.642857,0.05,0.0005
6jtbpdh,acc,410,169,4360,14,0.053658537,0,0,0.236686391,0.071005917,12,0.499682456,44.71428571,0.05,0.0005
6jtbpdh,gyr,409,169,4303,14,0.056234719,0.002444988,1,0.142011834,0.017751479,3,0.831806429,106.7142857,0.05,0.0005
6jtbpdh,swp,0,0,0,0,,,,,,,,,0.05,0.0005
6jtbpdh,tap,1401,599,18536,14,0.049250535,0,0,0.076794658,0,0,0.819940292,677.4285714,0.05,0.0005
uui53he,acc,460,194,4285,14,0.05,0.002173913,1,0.082474227,0,0,0.703220244,98.64285714,0.05,0.0005
uui53he,gyr,458,194,4229,14,0.052401747,0.002183406,1,0.077319588,0,0,0.909329015,211.3571429,0.05,0.0005
uui53he,swp,0,0,0,0,,,,,,,,,0.05,0.0005
uui53he,tap,1401,599,18536,14,0.019271949,0,0,0.021702838,0,0,0.960869201,1324,0.05,0.0005
677l8bq,acc,395,163,4381,14,0.050632911,0,0,0.09202454,0,0,0.448516916,73.07142857,0.05,0.0005
677l8bq,gyr,395,164,4322,14,0.053164557,0,0,0.097560976,0,0,0.968244849,308.7142857,0.05,0.0005
677l8bq,swp,0,0,0,0,,,,,,,,,0.05,0.0005
677l8bq,tap,1401,599,18536,14,0.050678087,0,0,0.078464107,0,0,0.861861371,714.0714286,0.05,0.0005
ipuyiii,acc,216,92,4631,14,0.046296296,0,0,0.032608696,0,0,0.173578728,11.85714286,0.05,0.0005
ipuyiii,gyr,215,92,4574,14,0.046511628,0,0,0.195652174,0.02173913,2,0.612689836,54.92857143,0.05,0.0005
ipuyiii,swp,0,0,0,0,,,,,,,,,0.05,0.0005
ipuyiii,tap,1094,467,18975,14,0.048446069,0,0,0.049250535,0,0,0.922094452,1220.214286,0.05,0.0005
3zd4fdk,acc,152,59,4728,14,0.052631579,0,0,0.525423729,0.186440678,11,0.037228664,2.571428571,0.05,0.0005
3zd4fdk,gyr,148,64,4669,14,0.054054054,0,0,0.109375,0,0,0.814625909,122,0.05,0.0005
3zd4fdk,swp,0,0,0,0,,,,,,,,,0.05,0.0005
3zd4fdk,tap,636,271,19629,14,0.022012579,0,0,0.04797048,0,0,0.93858429,1371,0.05,0.0005
v2x6zpt,acc,90,38,4811,14,0.055555556,0,0,0.289473684,0.026315789,1,0.065937195,5,0.05,0.0005
v2x6zpt,gyr,89,38,4754,14,0.056179775,0,0,0.263157895,0,0,0.616564277,74.92857143,0.05,0.0005
v2x6zpt,swp,0,0,0,0,,,,,,,,,0.05,0.0005
