OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
855whqe,acc,131,49,8864,14,0.038167939,0.0,0.0,0.204081633,0.020408163,1.0,0.14361796699999999,19.21428571,0.01,5e-05
855whqe,gyr,130,49,8413,14,0.238461538,0.0,0.0,0.387755102,0.0,0.0,0.19394975600000003,15.5,0.25,0.0005
855whqe,swp,525,224,18003,14,0.097142857,0.0,0.0,0.07589285700000001,0.0,0.0,0.16337283,51.35714286,0.1,0.0005
855whqe,tap,0,0,0,0,,,,,,,,,0.4,0.5
vk43uke,acc,683,260,8101,14,0.010248901999999999,0.0,0.0,0.015384615,0.0,0.0,0.16119878599999998,93.35714286,0.01,5e-05
vk43uke,gyr,540,206,7846,14,0.25,0.0074074069999999995,4.0,0.44174757299999995,0.048543689,10.0,0.418687054,85.07142857,0.25,0.0005
vk43uke,swp,539,230,17983,14,0.098330241,0.0,0.0,0.230434783,0.0,0.0,0.378406811,137.28571430000002,0.1,0.0005
vk43uke,tap,0,0,0,0,,,,,,,,,0.4,0.5
3zd4fdk,acc,511,215,8318,14,0.01369863,0.0,0.0,0.060465116,0.0,0.0,0.164722644,19.78571429,0.01,5e-05
3zd4fdk,gyr,510,215,7867,14,0.252941176,0.003921569000000001,2.0,0.28372093,0.0,0.0,0.462334776,103.6428571,0.25,0.0005
3zd4fdk,swp,1401,599,16752,14,0.099928622,0.0,0.0,0.078464107,0.0,0.0,0.19622106399999997,54.78571429,0.1,0.0005
3zd4fdk,tap,0,0,0,0,,,,,,,,,0.4,0.5
0o2grk2,acc,472,203,8369,14,0.004237288,0.0,0.0,0.009852217,0.0,0.0,0.539823065,175.9285714,0.01,5e-05
0o2grk2,gyr,476,196,7920,14,0.25210084,0.006302521,3.0,0.163265306,0.0,0.0,0.545386186,109.2142857,0.25,0.0005
0o2grk2,swp,1125,481,17146,14,0.10133333300000001,0.0,0.0,0.103950104,0.0,0.0,0.128466956,72.64285714,0.1,0.0005
