OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
855whqe,acc,88,37,7837,14,0.06818181799999999,0.0,0.0,0.054054054000000004,0.0,0.0,0.447461602,39.28571429,0.01,5e-05
855whqe,gyr,88,37,7666,14,0.238636364,0.0,0.0,0.27027027,0.027027027000000002,1.0,0.41464715,23.64285714,0.25,0.0005
855whqe,swp,254,108,11508,14,0.106299213,0.0,0.0,0.083333333,0.0,0.0,0.245434106,8.642857142999999,0.1,0.0005
855whqe,tap,0,0,0,0,,,,,,,,,0.4,0.5
vk43uke,acc,644,273,7045,14,0.01242236,0.0,0.0,0.252747253,0.117216117,32.0,0.12519833800000002,45.71428571,0.01,5e-05
vk43uke,gyr,645,266,6880,14,0.251162791,0.013953488,9.0,0.409774436,0.082706767,22.0,0.476038901,45.78571429,0.25,0.0005
vk43uke,swp,405,172,11293,14,0.10123456800000001,0.0,0.0,0.348837209,0.034883721,6.0,0.39200575200000004,54.21428571,0.1,0.0005
vk43uke,tap,0,0,0,0,,,,,,,,,0.4,0.5
3zd4fdk,acc,205,84,7673,14,0.014634146,0.0,0.0,0.047619048,0.0,0.0,0.243909763,33.57142857,0.01,5e-05
3zd4fdk,gyr,206,84,7501,14,0.242718447,0.0,0.0,0.261904762,0.023809524,2.0,0.424713936,26.5,0.25,0.0005
3zd4fdk,swp,361,154,11355,14,0.099722992,0.0,0.0,0.214285714,0.006493506,1.0,0.09778140800000001,4.928571429,0.1,0.0005
3zd4fdk,tap,0,0,0,0,,,,,,,,,0.4,0.5
7stgp0r,acc,315,129,7518,14,0.012698413,0.0,0.0,0.031007752000000003,0.0,0.0,0.659538146,159.1428571,0.01,5e-05
7stgp0r,gyr,318,130,7343,14,0.24842767300000002,0.025157232999999998,8.0,0.292307692,0.007692308,1.0,0.615132242,67.0,0.25,0.0005
7stgp0r,swp,361,153,11356,14,0.10526315800000001,0.0,0.0,0.27450980399999997,0.013071895,2.0,0.34902731,14.78571429,0.1,0.0005
7stgp0r,tap,0,0,0,0,,,,,,,,,0.4,0.5
ha3ev43,acc,115,49,7798,14,0.008695652,0.0,0.0,0.387755102,0.040816327,2.0,0.23832756,14.42857143,0.01,5e-05
ha3ev43,gyr,115,48,7628,14,0.252173913,0.008695652,1.0,0.41666666700000005,0.041666667000000004,2.0,0.31168426,6.357142857,0.25,0.0005
ha3ev43,swp,260,110,11500,14,0.092307692,0.003846154,1.0,0.127272727,0.018181818,2.0,0.458300938,99.0,0.1,0.0005
ha3ev43,tap,0,0,0,0,,,,,,,,,0.4,0.5
ap1oez8,acc,145,55,7762,14,0.034482759,0.0,0.0,0.4,0.109090909,6.0,0.15439065400000002,4.071428571,0.01,5e-05
ap1oez8,gyr,144,56,7591,14,0.26388888899999996,0.013888889,2.0,0.125,0.0,0.0,0.46922408,39.57142857,0.25,0.0005
ap1oez8,swp,253,107,11510,14,0.09486166,0.0,0.0,0.364485981,0.037383177999999996,4.0,0.17606156899999997,6.714285714,0.1,0.0005
ap1oez8,tap,0,0,0,0,,,,,,,,,0.4,0.5
z8c5rtb,acc,436,185,7341,14,0.013761468,0.0,0.0,0.0,0.0,0.0,0.7671011640000001,205.3571429,0.01,5e-05
z8c5rtb,gyr,435,184,7172,14,0.24827586199999999,0.009195402,4.0,0.255434783,0.010869565,2.0,0.649702083,65.35714286,0.25,0.0005
