OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
vk43uke,acc,683,268,6706,14,0.010248902,0.0,0.0,0.432835821,0.152985075,41.0,0.290183223,93.07142857,0.01,5e-05
vk43uke,gyr,617,265,5095,14,0.249594814,0.027552674,17.0,0.298113208,0.022641509,6.0,0.69162397,103.7142857,0.25,0.0005
vk43uke,swp,0,0,0,0,,,,,,,,,0.1,0.0005
vk43uke,tap,1401,599,20396,14,0.41184868,0.012847966,18.0,0.437395659,0.015025042,9.0,0.525029555,49.57142857,0.4,0.5
r2p4ljs,acc,131,54,7472,14,0.022900763,0.0,0.0,0.018518519,0.0,0.0,0.919673166,436.2857143,0.01,5e-05
r2p4ljs,gyr,130,54,5793,14,0.246153846,0.0,0.0,0.518518519,0.12962963,7.0,0.351933151,21.71428571,0.25,0.0005
r2p4ljs,swp,0,0,0,0,,,,,,,,,0.1,0.0005
r2p4ljs,tap,1401,599,20396,14,0.41184868,0.017130621000000002,24.0,0.410684474,0.011686144,7.0,0.425399421,55.28571429,0.4,0.5
4su8oxl,acc,160,64,7433,14,0.0625,0.0,0.0,0.609375,0.140625,9.0,0.001909919,2.0,0.01,5e-05
4su8oxl,gyr,158,62,5757,14,0.246835443,0.025316456,4.0,0.387096774,0.08064516099999999,5.0,0.013675076,2.571428571,0.25,0.0005
4su8oxl,swp,0,0,0,0,,,,,,,,,0.1,0.0005
4su8oxl,tap,646,276,21474,14,0.382352941,0.007739938000000002,5.0,0.554347826,0.032608696,9.0,0.366575416,72.0,0.4,0.5
cp7kjhx,acc,150,61,7446,14,0.026666667,0.0,0.0,0.0,0.0,0.0,0.8087777690000001,245.1428571,0.01,5e-05
cp7kjhx,gyr,151,61,5765,14,0.251655629,0.0,0.0,0.196721311,0.0,0.0,0.7186009959999999,141.21428569999995,0.25,0.0005
cp7kjhx,swp,0,0,0,0,,,,,,,,,0.1,0.0005
cp7kjhx,tap,1401,599,20396,14,0.386866524,0.010706638,15.0,0.470784641,0.026711185,16.0,0.6864827379999999,581.5714286,0.4,0.5
ftk8v41,acc,505,216,6936,14,0.011881188,0.0,0.0,0.0,0.0,0.0,0.8169163420000001,211.7142857,0.01,5e-05
ftk8v41,gyr,505,216,5256,14,0.253465347,0.045544554,23.0,0.356481481,0.023148148,5.0,0.6602914120000001,101.3571429,0.25,0.0005
ftk8v41,swp,0,0,0,0,,,,,,,,,0.1,0.0005
ftk8v41,tap,1401,599,20396,14,0.424696645,0.009992862,14.0,0.368948247,0.005008347,3.0,0.429539002,64.85714286,0.4,0.5
0z9xv36,acc,163,64,7430,14,0.018404908,0.0,0.0,0.46875,0.15625,10.0,0.0,2.0,0.01,5e-05
0z9xv36,gyr,163,64,5750,14,0.251533742,0.0,0.0,0.28125,0.015625,1.0,0.008880347,2.0,0.25,0.0005
0z9xv36,swp,0,0,0,0,,,,,,,,,0.1,0.0005
0z9xv36,tap,1401,599,20396,14,0.394004283,0.054960742,77.0,0.165275459,0.0,0.0,0.536066473,358.64285710000007,0.4,0.5
n0g0zsv,acc,500,485,6672,14,0.014,0.0,0.0,0.0,0.0,0.0,0.12799694,7.357142857,0.01,5e-05
n0g0zsv,gyr,641,257,5079,14,0.249609984,0.018720749,12.0,0.381322957,0.023346304,6.0,0.057081053,5.785714286,0.25,0.0005
n0g0zsv,swp,0,0,0,0,,,,,,,,,0.1,0.0005
n0g0zsv,tap,1401,599,20396,14,0.38401142,0.007137759000000001,10.0,0.388981636,0.010016694,6.0,0.318053722,19.85714286,0.4,0.5
b1qt6gb,acc,83,28,7546,14,0.060240964,0.0,0.0,0.0,0.0,0.0,0.106528988,2.0,0.01,5e-05
b1qt6gb,gyr,82,28,5867,14,0.26829268300000003,0.024390244,2.0,0.14285714300000002,0.0,0.0,0.42977075,37.92857143,0.25,0.0005
b1qt6gb,swp,0,0,0,0,,,,,,,,,0.1,0.0005
b1qt6gb,tap,576,246,21574,14,0.4166666670000001,0.012152778,7.0,0.264227642,0.0,0.0,0.642074328,295.5714286000001,0.4,0.5
36z77qn,acc,223,247,7187,14,0.00896861,0.0,0.0,0.008097166,0.0,0.0,0.34190175100000003,100.0,0.01,5e-05
36z77qn,gyr,173,67,5737,14,0.242774566,0.01734104,3.0,0.373134328,0.059701493,4.0,0.362073694,11.07142857,0.25,0.0005
36z77qn,swp,0,0,0,0,,,,,,,,,0.1,0.0005
36z77qn,tap,454,193,21749,14,0.418502203,0.004405286,2.0,0.466321244,0.020725389,4.0,0.370402164,86.92857143,0.4,0.5
b0602fr,acc,354,148,7155,14,0.011299435,0.0,0.0,0.121621622,0.006756757,1.0,0.434243443,38.64285714,0.01,5e-05
b0602fr,gyr,355,148,5474,14,0.247887324,0.028169014,10.0,0.540540541,0.114864865,17.0,0.480227626,44.85714286,0.25,0.0005
