OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,num_of_clf_that_decide
855whqe,acc,131,49,8864,14,0.03816793893129771,0.0,0.0,0.20408163265306123,0.02040816326530612,1.0,0.14361796665904736,19.214285714285715,1
855whqe,gyr,130,49,8413,14,0.38461538461538464,0.007692307692307693,1.0,0.5714285714285714,0.02040816326530612,1.0,0.1271820456369475,8.5,1
855whqe,swp,525,224,18003,14,0.24,0.0019047619047619048,1.0,0.24553571428571427,0.0,0.0,0.08190311618113114,20.714285714285715,1
855whqe,tap,0,0,0,0,,,,,,,,,1
ap1oez8,acc,134,57,8853,14,0.014925373134328358,0.0,0.0,0.631578947368421,0.12280701754385964,7.0,0.24210866730111993,38.285714285714285,1
ap1oez8,gyr,134,57,8401,14,0.3656716417910448,0.0,0.0,0.43859649122807015,0.0,0.0,0.2841290266904096,17.857142857142858,1
ap1oez8,swp,239,101,18412,14,0.09205020920502092,0.0,0.0,0.13861386138613863,0.0,0.0,0.2192809046979189,124.71428571428571,1
ap1oez8,tap,0,0,0,0,,,,,,,,,1
3zd4fdk,acc,511,215,8318,14,0.0136986301369863,0.0,0.0,0.06046511627906977,0.0,0.0,0.16472264396270306,19.785714285714285,1
3zd4fdk,gyr,510,215,7867,14,0.39215686274509803,0.025490196078431372,13.0,0.4372093023255814,0.013953488372093023,3.0,0.32566924732540564,53.642857142857146,1
3zd4fdk,swp,1401,599,16752,14,0.09992862241256245,0.0,0.0,0.07846410684474124,0.0,0.0,0.19622106374785045,54.785714285714285,1
3zd4fdk,tap,0,0,0,0,,,,,,,,,1
r13q05q,acc,689,278,8077,14,0.008708272859216255,0.0,0.0,0.22661870503597123,0.050359712230215826,14.0,0.018209002301176305,4.0,1
r13q05q,gyr,524,212,7856,14,0.39122137404580154,0.0019083969465648854,1.0,0.32075471698113206,0.0047169811320754715,1.0,0.14783900537264863,17.142857142857142,1
r13q05q,swp,262,111,18379,14,0.10687022900763359,0.0,0.0,0.05405405405405406,0.0,0.0,0.2870272928014614,126.64285714285714,1
r13q05q,tap,0,0,0,0,,,,,,,,,1
ha3ev43,acc,180,67,8797,14,0.011111111111111112,0.0,0.0,0.3283582089552239,0.05970149253731343,4.0,0.7062030434565976,340.7142857142857,1
ha3ev43,gyr,179,67,8346,14,0.39106145251396646,0.0,0.0,0.4925373134328358,0.05970149253731343,4.0,0.4293383374109424,67.35714285714286,1
ha3ev43,swp,417,177,18158,14,0.23980815347721823,0.002398081534772182,1.0,0.2655367231638418,0.0,0.0,0.45011332312815205,505.2142857142857,1
ha3ev43,tap,0,0,0,0,,,,,,,,,1
b0602fr,acc,523,220,8301,14,0.009560229445506692,0.0,0.0,0.01818181818181818,0.0,0.0,0.6215365646018841,166.42857142857142,1
b0602fr,gyr,523,221,7848,14,0.3862332695984704,0.009560229445506692,5.0,0.579185520361991,0.058823529411764705,13.0,0.5343786237781922,152.64285714285714,1
b0602fr,swp,1401,599,16752,14,0.1006423982869379,0.0,0.0,0.21535893155258765,0.0,0.0,0.5846402470918687,375.57142857142856,1
b0602fr,tap,0,0,0,0,,,,,,,,,1
txxrlzc,acc,508,218,8318,14,0.011811023622047244,0.0,0.0,0.022935779816513763,0.0,0.0,0.47413960768955415,74.07142857142857,1
txxrlzc,gyr,512,216,7864,14,0.38671875,0.005859375,3.0,0.4444444444444444,0.0,0.0,0.24487337424837863,36.57142857142857,1
txxrlzc,swp,1401,599,16752,14,0.09992862241256245,0.0,0.0,0.17028380634390652,0.0,0.0,0.16309287272959064,31.214285714285715,1
txxrlzc,tap,0,0,0,0,,,,,,,,,1
z8taipm,acc,506,217,8321,14,0.01383399209486166,0.0,0.0,0.07834101382488479,0.0,0.0,0.254591598434862,23.142857142857142,1
z8taipm,gyr,505,217,7870,14,0.3920792079207921,0.019801980198019802,10.0,0.35944700460829493,0.0,0.0,0.47306331420853237,124.64285714285714,1
z8taipm,swp,1401,599,16752,14,0.09992862241256245,0.0035688793718772305,5.0,0.13689482470784642,0.0,0.0,0.6829171541813082,539.6428571428571,1
z8taipm,tap,0,0,0,0,,,,,,,,,1
v90gnf6,acc,514,214,8316,14,0.013618677042801557,0.0,0.0,0.018691588785046728,0.0,0.0,0.8937104981797265,499.7142857142857,1
v90gnf6,gyr,507,218,7867,14,0.39250493096646943,0.007889546351084813,4.0,0.3577981651376147,0.0,0.0,0.44551910709326753,104.92857142857143,1
v90gnf6,swp,1401,599,16752,14,0.09992862241256245,0.0,0.0,0.29549248747913187,0.0,0.0,0.27015789738154244,249.85714285714286,1
v90gnf6,tap,0,0,0,0,,,,,,,,,1
0o2grk2,acc,472,203,8369,14,0.00423728813559322,0.0,0.0,0.009852216748768473,0.0,0.0,0.5398230653871614,175.92857142857142,1
0o2grk2,gyr,476,196,7920,14,0.3907563025210084,0.01050420168067227,5.0,0.40816326530612246,0.00510204081632653,1.0,0.3958785903447623,76.42857142857143,1
0o2grk2,swp,1125,481,17146,14,0.10133333333333333,0.0,0.0,0.10395010395010396,0.0,0.0,0.1284669560570701,72.64285714285714,1
0o2grk2,tap,0,0,0,0,,,,,,,,,1
lvwfjft,acc,163,63,8818,14,0.03067484662576687,0.0,0.0,0.06349206349206349,0.0,0.0,0.7791833872270394,344.2857142857143,1
lvwfjft,gyr,162,63,8367,14,0.38271604938271603,0.0,0.0,0.30158730158730157,0.0,0.0,0.469384871702175,95.57142857142857,1
lvwfjft,swp,254,108,18390,14,0.10236220472440945,0.0,0.0,0.7222222222222222,0.018518518518518517,2.0,0.52987647228446,289.85714285714283,1
lvwfjft,tap,0,0,0,0,,,,,,,,,1
sxvkh3b,acc,444,185,8415,14,0.0045045045045045045,0.0,0.0,0.05405405405405406,0.0,0.0,0.7874333597374614,301.35714285714283,1
sxvkh3b,gyr,445,185,7962,14,0.3887640449438202,0.017977528089887642,8.0,0.572972972972973,0.043243243243243246,8.0,0.3534593449581092,54.5,1
sxvkh3b,swp,1073,459,17220,14,0.10997204100652376,0.0,0.0,0.06535947712418301,0.0,0.0,0.6756878111295291,712.2142857142857,1
sxvkh3b,tap,0,0,0,0,,,,,,,,,1
z8c5rtb,acc,294,120,8630,14,0.01020408163265306,0.0,0.0,0.075,0.0,0.0,0.6638414768179783,297.42857142857144,1
z8c5rtb,gyr,295,121,8176,14,0.3898305084745763,0.003389830508474576,1.0,0.2892561983471074,0.0,0.0,0.4126065297708562,71.71428571428571,1
z8c5rtb,swp,300,127,18325,14,0.10333333333333333,0.0,0.0,0.10236220472440945,0.0,0.0,0.49982217822428826,493.2142857142857,1
z8c5rtb,tap,0,0,0,0,,,,,,,,,1
vk43uke,acc,683,260,8101,14,0.010248901903367497,0.0,0.0,0.015384615384615385,0.0,0.0,0.16119878574036386,93.35714285714286,1
vk43uke,gyr,540,206,7846,14,0.3907407407407407,0.014814814814814815,8.0,0.5970873786407767,0.05339805825242718,11.0,0.26534602677558133,34.07142857142857,1
vk43uke,swp,539,230,17983,14,0.09833024118738404,0.0,0.0,0.23043478260869565,0.0,0.0,0.3784068106109456,137.28571428571428,1
vk43uke,tap,0,0,0,0,,,,,,,,,1
yqhebyt,acc,652,274,8118,14,0.010736196319018405,0.0,0.0,0.010948905109489052,0.0,0.0,0.19173721787856948,87.92857142857143,1
yqhebyt,gyr,643,264,7685,14,0.38880248833592534,0.00933125972006221,6.0,0.2689393939393939,0.0,0.0,0.06416458787292975,4.857142857142857,1
yqhebyt,swp,1401,599,16752,14,0.2398286937901499,0.009992862241256246,14.0,0.6510851419031719,0.09849749582637729,59.0,0.06866798773687131,7.142857142857143,1
yqhebyt,tap,0,0,0,0,,,,,,,,,1
855whqe,acc,131,49,8864,14,0.05343511450381679,0.0,0.0,0.2653061224489796,0.02040816326530612,1.0,0.11136045768763761,17.428571428571427,5
855whqe,gyr,130,49,8413,14,0.36153846153846153,0.007692307692307693,1.0,0.5306122448979592,0.02040816326530612,1.0,0.1363242602897061,8.5,5
855whqe,swp,525,224,18003,14,0.17904761904761904,0.0019047619047619048,1.0,0.20535714285714285,0.0,0.0,0.10330661702027295,21.142857142857142,5
855whqe,tap,0,0,0,0,,,,,,,,,5
ap1oez8,acc,134,57,8853,14,0.03731343283582089,0.0,0.0,0.631578947368421,0.12280701754385964,7.0,0.20614923218343195,34.07142857142857,5
ap1oez8,gyr,134,57,8401,14,0.3656716417910448,0.0,0.0,0.43859649122807015,0.0,0.0,0.28625583388718034,17.857142857142858,5
ap1oez8,swp,239,101,18412,14,0.12552301255230125,0.0,0.0,0.18811881188118812,0.0,0.0,0.20049855597488117,80.28571428571429,5
ap1oez8,tap,0,0,0,0,,,,,,,,,5
3zd4fdk,acc,511,215,8318,14,0.03131115459882583,0.0,0.0,0.07441860465116279,0.0,0.0,0.11682415451778867,16.785714285714285,5
3zd4fdk,gyr,510,215,7867,14,0.3686274509803922,0.025490196078431372,13.0,0.4,0.013953488372093023,3.0,0.35122610679073996,60.57142857142857,5
