OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,num_of_clf_that_decide
508rk86,acc,286,114,4539,14,0.0034965034965034965,0.0,0.0,0.22807017543859648,0.08771929824561403,10.0,0.0610646082921039,2.2857142857142856,1
508rk86,gyr,255,93,4533,14,0.38823529411764707,0.054901960784313725,14.0,0.45161290322580644,0.08602150537634409,8.0,0.24308724064989096,4.214285714285714,1
508rk86,swp,0,0,0,0,,,,,,,,,1
508rk86,tap,211,89,20236,14,0.5734597156398105,0.14218009478672985,30.0,0.3707865168539326,0.07865168539325842,7.0,0.6339799397898552,85.14285714285714,1
7nv0i9p,acc,185,78,4676,14,0.016216216216216217,0.0,0.0,0.01282051282051282,0.0,0.0,0.6401775534068886,59.57142857142857,1
7nv0i9p,gyr,184,78,4619,14,0.391304347826087,0.05434782608695652,10.0,0.46153846153846156,0.08974358974358974,7.0,0.23058460916003387,5.285714285714286,1
7nv0i9p,swp,0,0,0,0,,,,,,,,,1
7nv0i9p,tap,915,391,19230,14,0.5584699453551912,0.12786885245901639,117.0,0.5933503836317136,0.15089514066496162,59.0,0.33768736819809747,9.285714285714286,1
3zd4fdk,acc,152,59,4728,14,0.05263157894736842,0.0,0.0,0.4915254237288136,0.1694915254237288,10.0,0.07197898903019352,4.5,1
3zd4fdk,gyr,148,64,4669,14,0.38513513513513514,0.0472972972972973,7.0,0.71875,0.25,16.0,0.2563777699814617,7.285714285714286,1
3zd4fdk,swp,0,0,0,0,,,,,,,,,1
3zd4fdk,tap,636,271,19629,14,0.5534591194968553,0.14937106918238993,95.0,0.4797047970479705,0.11070110701107011,30.0,0.5843660772811318,102.92857142857143,1
pf3v1xv,acc,149,61,4729,14,0.026845637583892617,0.0,0.0,0.08196721311475409,0.0,0.0,0.3231462960036421,23.142857142857142,1
pf3v1xv,gyr,147,61,4673,14,0.4013605442176871,0.06802721088435375,10.0,0.6721311475409836,0.21311475409836064,13.0,0.4369531224506388,28.714285714285715,1
pf3v1xv,swp,0,0,0,0,,,,,,,,,1
pf3v1xv,tap,1092,466,18978,14,0.5421245421245421,0.12545787545787546,137.0,0.6351931330472103,0.18025751072961374,84.0,0.29787852486751026,3.5,1
1uep0cy,acc,98,39,4802,14,0.05102040816326531,0.0,0.0,0.6410256410256411,0.28205128205128205,11.0,0.06986180047396222,3.2857142857142856,1
1uep0cy,gyr,98,39,4744,14,0.40816326530612246,0.05102040816326531,5.0,0.5384615384615384,0.1282051282051282,5.0,0.21272797898113158,6.857142857142857,1
1uep0cy,swp,0,0,0,0,,,,,,,,,1
1uep0cy,tap,706,301,19529,14,0.556657223796034,0.13739376770538245,97.0,0.45514950166112955,0.07641196013289037,23.0,0.33615222657258326,10.642857142857142,1
uui53he,acc,460,194,4285,14,0.006521739130434782,0.0,0.0,0.03608247422680412,0.0,0.0,0.9246441768862478,232.57142857142858,1
uui53he,gyr,458,194,4229,14,0.39082969432314413,0.09170305676855896,42.0,0.29896907216494845,0.041237113402061855,8.0,0.55844316775104,47.07142857142857,1
uui53he,swp,0,0,0,0,,,,,,,,,1
uui53he,tap,1401,599,18536,14,0.5267665952890792,0.10778015703069237,151.0,0.5292153589315526,0.11352253756260434,68.0,0.5188726618687721,25.785714285714285,1
1l967s6,acc,181,78,4680,14,0.022099447513812154,0.0,0.0,0.3717948717948718,0.1282051282051282,10.0,0.12860824817500985,4.214285714285714,1
1l967s6,gyr,182,78,4621,14,0.3901098901098901,0.06593406593406594,12.0,0.3717948717948718,0.0641025641025641,5.0,0.17129076894272338,4.0,1
1l967s6,swp,0,0,0,0,,,,,,,,,1
1l967s6,tap,1266,541,18729,14,0.5458135860979463,0.12480252764612954,158.0,0.5988909426987061,0.1534195933456562,83.0,0.2470492040721815,3.857142857142857,1
3pmv9aq,acc,295,126,4518,14,0.010169491525423728,0.0,0.0,0.07936507936507936,0.0,0.0,0.5362378018428351,50.357142857142854,1
3pmv9aq,gyr,294,126,4461,14,0.3877551020408163,0.05442176870748299,16.0,0.5634920634920635,0.18253968253968253,23.0,0.5640774454773102,51.714285714285715,1
3pmv9aq,swp,0,0,0,0,,,,,,,,,1
