OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,num_of_clf_that_decide
36z77qn,acc,223,247,7187,14,0.008968609865470852,0.0,0.0,0.008097165991902834,0.0,0.0,0.3419017508553916,100.0,1
36z77qn,gyr,173,67,5737,14,0.3815028901734104,0.04046242774566474,7.0,0.47761194029850745,0.05970149253731343,4.0,0.22726048157585627,2.4285714285714284,1
36z77qn,swp,0,0,0,0,,,,,,,,,1
36z77qn,tap,454,193,21749,14,0.526431718061674,0.03524229074889868,16.0,0.5854922279792746,0.046632124352331605,9.0,0.23405297732339372,22.714285714285715,1
r13q05q,acc,739,227,6691,14,0.009472259810554804,0.0,0.0,0.004405286343612335,0.0,0.0,0.3967110857214677,104.5,1
r13q05q,gyr,640,273,5064,14,0.3890625,0.0453125,29.0,0.2454212454212454,0.014652014652014652,4.0,0.13826543346566217,7.714285714285714,1
r13q05q,swp,0,0,0,0,,,,,,,,,1
r13q05q,tap,1401,599,20396,14,0.5017844396859387,0.027837259100642397,39.0,0.5208681135225376,0.021702838063439065,13.0,0.24469393132334782,6.071428571428571,1
b1qt6gb,acc,83,28,7546,14,0.060240963855421686,0.0,0.0,0.0,0.0,0.0,0.10652898782340707,2.0,1
b1qt6gb,gyr,82,28,5867,14,0.3902439024390244,0.024390243902439025,2.0,0.42857142857142855,0.0,0.0,0.1400367563745963,7.428571428571429,1
b1qt6gb,swp,0,0,0,0,,,,,,,,,1
b1qt6gb,tap,576,246,21574,14,0.546875,0.034722222222222224,20.0,0.43902439024390244,0.008130081300813009,2.0,0.4698990753409021,60.57142857142857,1
l1doqao,acc,661,3,6993,14,0.0226928895612708,0.0015128593040847202,1.0,0.3333333333333333,0.0,0.0,0.4947607020531802,93.92857142857143,1
l1doqao,gyr,213,65,5699,14,0.38967136150234744,0.046948356807511735,10.0,0.3384615384615385,0.015384615384615385,1.0,0.14039081974832582,5.285714285714286,1
l1doqao,swp,0,0,0,0,,,,,,,,,1
l1doqao,tap,730,311,21355,14,0.5315068493150685,0.04657534246575343,34.0,0.5627009646302251,0.04823151125401929,15.0,0.3188018303659497,15.928571428571429,1
b0602fr,acc,354,148,7155,14,0.011299435028248588,0.0,0.0,0.12162162162162163,0.006756756756756757,1.0,0.43424344253484665,38.642857142857146,1
b0602fr,gyr,355,148,5474,14,0.39154929577464787,0.05070422535211268,18.0,0.6351351351351351,0.16216216216216217,24.0,0.3349198162621631,10.285714285714286,1
b0602fr,swp,0,0,0,0,,,,,,,,,1
b0602fr,tap,1401,599,20396,14,0.5517487508922199,0.039257673090649536,55.0,0.5191986644407346,0.01335559265442404,8.0,0.3765057063762405,46.357142857142854,1
r2p4ljs,acc,131,54,7472,14,0.022900763358778626,0.0,0.0,0.018518518518518517,0.0,0.0,0.919673165754349,436.2857142857143,1
r2p4ljs,gyr,130,54,5793,14,0.3923076923076923,0.007692307692307693,1.0,0.5740740740740741,0.18518518518518517,10.0,0.25026975986004263,14.571428571428571,1
r2p4ljs,swp,0,0,0,0,,,,,,,,,1
r2p4ljs,tap,1401,599,20396,14,0.5481798715203426,0.052105638829407566,73.0,0.5559265442404007,0.04340567612687813,26.0,0.3036163854642532,14.285714285714286,1
sqhkewt,acc,470,86,7101,14,0.01702127659574468,0.0,0.0,0.2441860465116279,0.023255813953488372,2.0,0.390446270762341,46.0,1
sqhkewt,gyr,116,49,5812,14,0.4051724137931034,0.02586206896551724,3.0,0.5918367346938775,0.061224489795918366,3.0,0.10320239296647496,3.857142857142857,1
sqhkewt,swp,0,0,0,0,,,,,,,,,1
sqhkewt,tap,380,162,21854,14,0.5526315789473685,0.034210526315789476,13.0,0.6419753086419753,0.07407407407407407,12.0,0.18983795284178867,11.0,1
2cf0s6s,acc,503,181,6973,14,0.009940357852882704,0.0,0.0,1.0,0.4972375690607735,90.0,0.0,2.0,1
2cf0s6s,gyr,164,59,5754,14,0.3902439024390244,0.036585365853658534,6.0,0.7627118644067796,0.13559322033898305,8.0,0.03473267918217176,2.0,1
2cf0s6s,swp,0,0,0,0,,,,,,,,,1
2cf0s6s,tap,1215,520,20661,14,0.5522633744855967,0.04279835390946502,52.0,0.5961538461538461,0.046153846153846156,24.0,0.42783802813809374,104.92857142857143,1
n0g0zsv,acc,500,485,6672,14,0.014,0.0,0.0,0.0,0.0,0.0,0.12799694004664391,7.357142857142857,1
n0g0zsv,gyr,641,257,5079,14,0.37753510140405616,0.0343213728549142,22.0,0.47470817120622566,0.05058365758754864,13.0,0.026938009147524873,3.857142857142857,1
n0g0zsv,swp,0,0,0,0,,,,,,,,,1
n0g0zsv,tap,1401,599,20396,14,0.5303354746609564,0.034261241970021415,48.0,0.5409015025041736,0.035058430717863104,21.0,0.2424288196884818,7.785714285714286,1
hwx9u0h,acc,157,43,7457,14,0.01910828025477707,0.0,0.0,0.023255813953488372,0.0,0.0,0.10116952278066606,7.857142857142857,1
hwx9u0h,gyr,157,44,5776,14,0.39490445859872614,0.03184713375796178,5.0,0.5227272727272727,0.045454545454545456,2.0,0.27032562435992896,5.928571428571429,1
hwx9u0h,swp,0,0,0,0,,,,,,,,,1
hwx9u0h,tap,482,205,21709,14,0.5477178423236515,0.04564315352697095,22.0,0.5707317073170731,0.07317073170731707,15.0,0.6415597488708683,516.1428571428571,1
cp7kjhx,acc,150,61,7446,14,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.8087777687923021,245.14285714285714,1
cp7kjhx,gyr,151,61,5765,14,0.37748344370860926,0.013245033112582781,2.0,0.3442622950819672,0.01639344262295082,1.0,0.599271183206581,67.78571428571429,1
cp7kjhx,swp,0,0,0,0,,,,,,,,,1
cp7kjhx,tap,1401,599,20396,14,0.5374732334047109,0.03497501784439686,49.0,0.6093489148580968,0.0667779632721202,40.0,0.477872881565012,41.642857142857146,1
0z9xv36,acc,163,64,7430,14,0.018404907975460124,0.0,0.0,0.46875,0.15625,10.0,0.0,2.0,1
0z9xv36,gyr,163,64,5750,14,0.38650306748466257,0.03067484662576687,5.0,0.46875,0.015625,1.0,0.008256193684909693,2.0,1
0z9xv36,swp,0,0,0,0,,,,,,,,,1
0z9xv36,tap,1401,599,20396,14,0.53604568165596,0.08065667380442541,113.0,0.35058430717863104,0.005008347245409015,3.0,0.4031744461711328,131.42857142857142,1
ftk8v41,acc,505,216,6936,14,0.011881188118811881,0.0,0.0,0.0,0.0,0.0,0.8169163419287203,211.71428571428572,1
ftk8v41,gyr,505,216,5256,14,0.38613861386138615,0.08118811881188119,41.0,0.5462962962962963,0.10185185185185185,22.0,0.5191447062770055,47.92857142857143,1
ftk8v41,swp,0,0,0,0,,,,,,,,,1
ftk8v41,tap,1401,599,20396,14,0.5217701641684511,0.03140613847251963,44.0,0.4691151919866444,0.01335559265442404,8.0,0.3264867010419295,20.214285714285715,1
vk43uke,acc,683,268,6706,14,0.010248901903367497,0.0,0.0,0.43283582089552236,0.15298507462686567,41.0,0.2901832225542437,93.07142857142857,1
vk43uke,gyr,617,265,5095,14,0.3889789303079417,0.06482982171799027,40.0,0.5207547169811321,0.12830188679245283,34.0,0.5227045980206644,61.214285714285715,1
vk43uke,swp,0,0,0,0,,,,,,,,,1
vk43uke,tap,1401,599,20396,14,0.5610278372591007,0.046395431834404,65.0,0.5575959933222037,0.06176961602671119,37.0,0.33253373539589937,24.285714285714285,1
4su8oxl,acc,160,64,7433,14,0.0625,0.0,0.0,0.609375,0.140625,9.0,0.0019099185385581653,2.0,1
4su8oxl,gyr,158,62,5757,14,0.3860759493670886,0.02531645569620253,4.0,0.5161290322580645,0.0967741935483871,6.0,0.0049984474155947275,2.2857142857142856,1
4su8oxl,swp,0,0,0,0,,,,,,,,,1
4su8oxl,tap,646,276,21474,14,0.5232198142414861,0.034055727554179564,22.0,0.6630434782608695,0.08333333333333333,23.0,0.27830497862802267,14.857142857142858,1
36z77qn,acc,223,247,7187,14,0.04484304932735426,0.004484304932735426,1.0,0.016194331983805668,0.0,0.0,0.2780527030122936,95.78571428571429,5
36z77qn,gyr,173,67,5737,14,0.3699421965317919,0.04046242774566474,7.0,0.4626865671641791,0.05970149253731343,4.0,0.24248864005669651,2.4285714285714284,5
36z77qn,swp,0,0,0,0,,,,,,,,,5
36z77qn,tap,454,193,21749,14,0.526431718061674,0.03524229074889868,16.0,0.5854922279792746,0.046632124352331605,9.0,0.23405297732339372,22.714285714285715,5
r13q05q,acc,739,227,6691,14,0.03247631935047361,0.006765899864682003,5.0,0.004405286343612335,0.0,0.0,0.258329051885716,28.928571428571427,5
r13q05q,gyr,640,273,5064,14,0.36875,0.04375,28.0,0.21611721611721613,0.014652014652014652,4.0,0.14872165737662396,7.714285714285714,5
r13q05q,swp,0,0,0,0,,,,,,,,,5
r13q05q,tap,1401,599,20396,14,0.561741613133476,0.04139900071377588,58.0,0.5626043405676127,0.0333889816360601,20.0,0.2260164366375072,5.785714285714286,5
b1qt6gb,acc,83,28,7546,14,0.08433734939759036,0.0,0.0,0.0,0.0,0.0,0.11114477318808229,2.0,5
b1qt6gb,gyr,82,28,5867,14,0.4024390243902439,0.04878048780487805,4.0,0.42857142857142855,0.0,0.0,0.14653550663082412,7.428571428571429,5
b1qt6gb,swp,0,0,0,0,,,,,,,,,5
b1qt6gb,tap,576,246,21574,14,0.5399305555555556,0.034722222222222224,20.0,0.4268292682926829,0.008130081300813009,2.0,0.48023607977413224,60.57142857142857,5
l1doqao,acc,661,3,6993,14,0.025718608169440244,0.0030257186081694403,2.0,0.3333333333333333,0.0,0.0,0.4657532357749187,102.78571428571429,5
l1doqao,gyr,213,65,5699,14,0.36619718309859156,0.046948356807511735,10.0,0.3230769230769231,0.015384615384615385,1.0,0.1527498034913786,5.5,5
l1doqao,swp,0,0,0,0,,,,,,,,,5
l1doqao,tap,730,311,21355,14,0.5821917808219178,0.056164383561643834,41.0,0.617363344051447,0.06430868167202572,20.0,0.28692808107905055,14.571428571428571,5
b0602fr,acc,354,148,7155,14,0.02824858757062147,0.0,0.0,0.21621621621621623,0.02702702702702703,4.0,0.27468278542561025,34.07142857142857,5
b0602fr,gyr,355,148,5474,14,0.37183098591549296,0.05070422535211268,18.0,0.6216216216216216,0.16216216216216217,24.0,0.362674604656561,10.357142857142858,5
b0602fr,swp,0,0,0,0,,,,,,,,,5
b0602fr,tap,1401,599,20396,14,0.5517487508922199,0.039257673090649536,55.0,0.5191986644407346,0.01335559265442404,8.0,0.3765057063762405,46.357142857142854,5
r2p4ljs,acc,131,54,7472,14,0.04580152671755725,0.0,0.0,0.1111111111111111,0.0,0.0,0.7470741927626922,238.35714285714286,5
r2p4ljs,gyr,130,54,5793,14,0.36923076923076925,0.0,0.0,0.5740740740740741,0.18518518518518517,10.0,0.2666858556729498,14.214285714285714,5
r2p4ljs,swp,0,0,0,0,,,,,,,,,5
r2p4ljs,tap,1401,599,20396,14,0.5317630264097074,0.04853675945753034,68.0,0.5442404006677797,0.03672787979966611,22.0,0.3271162724103505,15.642857142857142,5
sqhkewt,acc,470,86,7101,14,0.027659574468085105,0.0,0.0,0.313953488372093,0.023255813953488372,2.0,0.37787548189424036,109.57142857142857,5
sqhkewt,gyr,116,49,5812,14,0.3706896551724138,0.02586206896551724,3.0,0.5510204081632653,0.061224489795918366,3.0,0.10971717154914253,3.857142857142857,5
sqhkewt,swp,0,0,0,0,,,,,,,,,5
sqhkewt,tap,380,162,21854,14,0.5526315789473685,0.034210526315789476,13.0,0.6419753086419753,0.07407407407407407,12.0,0.18983795284178867,11.0,5
2cf0s6s,acc,503,181,6973,14,0.033797216699801194,0.0,0.0,1.0,0.4972375690607735,90.0,0.0,2.0,5
2cf0s6s,gyr,164,59,5754,14,0.36585365853658536,0.036585365853658534,6.0,0.7627118644067796,0.13559322033898305,8.0,0.036650742775164113,2.0,5
2cf0s6s,swp,0,0,0,0,,,,,,,,,5
2cf0s6s,tap,1215,520,20661,14,0.5374485596707819,0.03868312757201646,47.0,0.5807692307692308,0.04423076923076923,23.0,0.4287269224439969,104.92857142857143,5
n0g0zsv,acc,500,485,6672,14,0.032,0.0,0.0,0.0,0.0,0.0,0.07428057812005344,2.0,5
n0g0zsv,gyr,641,257,5079,14,0.36817472698907955,0.0327613104524181,21.0,0.4708171206225681,0.05058365758754864,13.0,0.02838712879955822,5.642857142857143,5
n0g0zsv,swp,0,0,0,0,,,,,,,,,5
n0g0zsv,tap,1401,599,20396,14,0.5581727337615988,0.047109207708779445,66.0,0.5759599332220368,0.05342237061769616,32.0,0.23380754206821575,7.785714285714286,5
hwx9u0h,acc,157,43,7457,14,0.044585987261146494,0.0,0.0,0.023255813953488372,0.0,0.0,0.08010787468620215,7.857142857142857,5
hwx9u0h,gyr,157,44,5776,14,0.3821656050955414,0.03184713375796178,5.0,0.5227272727272727,0.045454545454545456,2.0,0.28116126190025376,5.928571428571429,5
hwx9u0h,swp,0,0,0,0,,,,,,,,,5
hwx9u0h,tap,482,205,21709,14,0.5477178423236515,0.04564315352697095,22.0,0.5707317073170731,0.07317073170731707,15.0,0.6415597488708683,516.1428571428571,5
cp7kjhx,acc,150,61,7446,14,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.6966297709641742,224.42857142857142,5
