OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
4l9kvp8,acc,118.0,49,7231,14,0.059322033898305086,0.0,0.0,0.12244897959183673,0.0,0,0.13809190677153615,3.7142857142857144,3.7142857142857144,0.0
4l9kvp8,gyr,118.0,49,6303,14,0.3728813559322034,0.03389830508474576,4.0,0.5102040816326531,0.061224489795918366,3,0.3442242035102381,12.357142857142858,12.357142857142858,0.0
4l9kvp8,swp,152.0,6,1619,14,0.09868421052631579,0.0,0.0,0.16666666666666666,0.0,0,0.6759382727560451,48.857142857142854,0.0,48.857142857142854
4l9kvp8,tap,186.0,138,13265,14,0.532258064516129,0.0913978494623656,17.0,0.45652173913043476,0.036231884057971016,5,0.5801474150033537,85.07142857142857,0.0,85.07142857142857
4l9kvp8,all,,242,28418,14,,,,0.3925619834710744,0.02066115702479339,5,0.4194138932980658,22.857142857142858,3.642857142857143,19.214285714285715
vk43uke,acc,673.0,260,6465,14,0.010401188707280832,0.0,0.0,0.007692307692307693,0.0,0,0.6493383191622518,276.42857142857144,276.42857142857144,0.0
vk43uke,gyr,661.0,247,5562,14,0.3918305597579425,0.08925869894099848,59.0,0.38866396761133604,0.06477732793522267,16,0.3602577399377235,11.5,11.5,0.0
vk43uke,swp,336.0,129,1312,14,0.19047619047619047,0.0,0.0,0.23255813953488372,0.0,0,0.6040015028129032,46.285714285714285,0.0,46.285714285714285
vk43uke,tap,967.0,428,12194,14,0.5367114788004137,0.10237849017580145,99.0,0.5397196261682243,0.04439252336448598,19,0.5568605527727764,132.5,0.0,132.5
vk43uke,all,,1064,25533,14,,,,0.337406015037594,0.02537593984962406,27,0.5525174707816699,51.357142857142854,19.857142857142858,31.5
06mdn3c,acc,111.0,46,7241,14,0.04504504504504504,0.0,0.0,0.17391304347826086,0.0,0,0.12471874670845991,14.357142857142858,14.357142857142858,0.0
06mdn3c,gyr,112.0,46,6312,14,0.4017857142857143,0.026785714285714284,3.0,0.5,0.021739130434782608,1,0.2761043124738844,10.142857142857142,10.142857142857142,0.0
06mdn3c,swp,137.0,8,1632,14,0.10218978102189781,0.0,0.0,0.0,0.0,0,0.8280994075893184,108.07142857142857,0.0,108.07142857142857
06mdn3c,tap,152.0,115,13322,14,0.5394736842105263,0.125,19.0,0.5217391304347826,0.06086956521739131,7,0.3385646949566722,20.0,0.0,20.0
06mdn3c,all,,215,28507,14,,,,0.4232558139534884,0.018604651162790697,4,0.3011781591047935,18.714285714285715,2.5,16.214285714285715
b0602fr,acc,530.0,218,6650,14,0.013207547169811321,0.0,0.0,0.022935779816513763,0.0,0,0.8510843652769945,323.7142857142857,323.7142857142857,0.0
b0602fr,gyr,531.0,219,5720,14,0.3898305084745763,0.04896421845574388,26.0,0.4337899543378995,0.0365296803652968,8,0.42999326750917355,23.714285714285715,23.714285714285715,0.0
b0602fr,swp,97.0,32,1648,14,0.21649484536082475,0.0,0.0,0.3125,0.0,0,0.5924580366516151,46.642857142857146,0.0,46.642857142857146
b0602fr,tap,1304.0,567,11718,14,0.5306748466257669,0.11733128834355828,153.0,0.564373897707231,0.07054673721340388,40,0.3414647216835682,15.857142857142858,0.0,15.857142857142858
b0602fr,all,,1036,25736,14,,,,0.41505791505791506,0.03957528957528957,41,0.5174414262307814,32.07142857142857,10.857142857142858,21.214285714285715
ftk8v41,acc,424.0,176,6798,14,0.014150943396226415,0.0,0.0,0.03977272727272727,0.0,0,0.6872512930939122,89.92857142857143,89.92857142857143,0.0
ftk8v41,gyr,424.0,176,5870,14,0.3867924528301887,0.06132075471698113,26.0,0.5511363636363636,0.08522727272727272,15,0.45340347255212793,67.85714285714286,67.85714285714286,0.0
ftk8v41,swp,34.0,5,1738,14,0.23529411764705882,0.0,0.0,0.0,0.0,0,0.6669228996701018,59.285714285714285,0.0,59.285714285714285
ftk8v41,tap,1367.0,594,11628,14,0.5076810534016094,0.1441111923920995,197.0,0.4158249158249158,0.03535353535353535,21,0.37968404922259946,19.928571428571427,0.0,19.928571428571427
ftk8v41,all,,951,26034,14,,,,0.36908517350157727,0.023133543638275498,22,0.4955978474729914,37.642857142857146,11.785714285714286,25.857142857142858
