OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
wksm8wt,acc,90,39,7269,14,0.03333333333333333,0.0,0,0.28205128205128205,0.0,0,0.4557245628274515,31.714285714285715,0.01,0.001
wksm8wt,gyr,92,36,6342,14,0.043478260869565216,0.0,0,0.4722222222222222,0.1111111111111111,4,0.6762164698028742,76.92857142857143,0.01,0.01
wksm8wt,swp,20,21,1736,14,0.15,0.0,0,0.5238095238095238,0.09523809523809523,2,0.32844444414973306,4.714285714285714,0.01,0.01
wksm8wt,tap,262,98,13229,14,0.22900763358778625,0.0,0,0.22448979591836732,0.010204081632653059,1,0.7772622107817059,622.3571428571429,0.24,0.01
06mdn3c,acc,111,46,7241,14,0.027027027027027032,0.0,0,0.1956521739130435,0.0,0,0.11932922040015025,12.428571428571427,0.01,0.001
06mdn3c,gyr,112,46,6312,14,0.0625,0.0,0,0.15217391304347827,0.0,0,0.6427284848417624,49.28571428571429,0.01,0.01
06mdn3c,swp,137,8,1632,14,0.0364963503649635,0.0,0,0.0,0.0,0,0.8721530316722299,80.5,0.01,0.01
06mdn3c,tap,152,115,13322,14,0.25,0.006578947368421052,1,0.3565217391304348,0.017391304347826087,2,0.5965442010120305,29.285714285714285,0.24,0.01
n0g0zsv,acc,923,54,6421,14,0.010834236186348862,0.0,0,0.0,0.0,0,0.06867774458677665,8.214285714285714,0.01,0.001
n0g0zsv,gyr,648,269,5553,14,0.015432098765432096,0.0,0,0.08921933085501857,0.007434944237918215,2,0.13226243495639206,2.9285714285714284,0.01,0.01
n0g0zsv,swp,60,35,1682,14,0.05,0.0,0,0.2857142857142857,0.0,0,0.7458488063737629,50.64285714285714,0.01,0.01
n0g0zsv,tap,1225,515,11849,14,0.2653061224489796,0.004081632653061225,5,0.3029126213592233,0.0,0,0.803572297696445,540.0714285714286,0.24,0.01
pemzvif,acc,102,40,7256,14,0.029411764705882356,0.0,0,0.95,0.425,17,0.0,2.0,0.01,0.001
pemzvif,gyr,102,40,6328,14,0.0392156862745098,0.0,0,0.0,0.0,0,0.0,2.0,0.01,0.01
pemzvif,swp,23,12,1742,14,0.08695652173913042,0.0,0,0.4166666666666667,0.08333333333333333,1,0.6346304471431824,40.142857142857146,0.01,0.01
pemzvif,tap,233,97,13259,14,0.24034334763948495,0.07725321888412018,18,0.21649484536082475,0.0,0,0.7754570737433061,408.5,0.24,0.01
b8g4bl5,acc,126,51,7221,14,0.023809523809523808,0.0,0,0.1176470588235294,0.0,0,0.3652045770397527,27.214285714285715,0.01,0.001
b8g4bl5,gyr,126,51,6293,14,0.023809523809523808,0.0,0,0.09803921568627452,0.0,0,0.5211291349178946,35.642857142857146,0.01,0.01
b8g4bl5,swp,94,32,1651,14,0.05319148936170213,0.0,0,0.0625,0.0,0,0.6666960984935385,50.92857142857143,0.01,0.01
b8g4bl5,tap,163,77,13349,14,0.2576687116564417,0.012269938650306749,2,0.12987012987012986,0.0,0,0.43623073159591214,16.214285714285715,0.24,0.01
ftk8v41,acc,424,176,6798,14,0.014150943396226415,0.0,0,0.045454545454545456,0.0,0,0.667779895687428,68.0,0.01,0.001
ftk8v41,gyr,424,176,5870,14,0.01179245283018868,0.0,0,0.09659090909090907,0.0,0,0.8562452892697686,228.57142857142856,0.01,0.01
ftk8v41,swp,34,5,1738,14,0.14705882352941174,0.0,0,0.0,0.0,0,0.7808916752032765,60.35714285714285,0.01,0.01
ftk8v41,tap,1367,594,11628,14,0.23189465983906365,0.02194586686174104,30,0.2222222222222222,0.01346801346801347,8,0.5602185364179278,50.214285714285715,0.24,0.01
7f0qwx8,acc,165,65,7168,14,0.02424242424242424,0.0,0,0.04615384615384616,0.0,0,0.16547975497652914,2.7857142857142856,0.01,0.001
7f0qwx8,gyr,165,66,6239,14,0.048484848484848485,0.0,0,0.2878787878787879,0.060606060606060615,4,0.8899948748067592,235.0,0.01,0.01
7f0qwx8,swp,139,37,1601,14,0.02877697841726619,0.0,0,0.0,0.0,0,0.6412175606391923,42.714285714285715,0.01,0.01
7f0qwx8,tap,199,107,13283,14,0.2663316582914573,0.01507537688442211,3,0.19626168224299065,0.0,0,0.37806519046478587,13.071428571428573,0.24,0.01
b0602fr,acc,530,218,6650,14,0.01320754716981132,0.0,0,0.05504587155963303,0.0,0,0.7615080371783309,87.92857142857143,0.01,0.001
b0602fr,gyr,531,219,5720,14,0.018832391713747645,0.0,0,0.045662100456620995,0.0,0,0.9072483643659828,291.35714285714283,0.01,0.01
b0602fr,swp,97,32,1648,14,0.05154639175257732,0.0,0,0.09375,0.0,0,0.8255804608748865,70.78571428571429,0.01,0.01
b0602fr,tap,1304,567,11718,14,0.2553680981595092,0.009969325153374231,13,0.31393298059964725,0.01763668430335097,10,0.7028452694554989,129.64285714285714,0.24,0.01
r2p4ljs,acc,512,220,6666,14,0.009765625,0.0,0,0.022727272727272728,0.0,0,0.9284908598816328,343.2142857142857,0.01,0.001
r2p4ljs,gyr,512,220,5738,14,0.017578125,0.0,0,0.05909090909090909,0.0,0,0.8215597789552161,132.78571428571428,0.01,0.01
r2p4ljs,swp,137,36,1604,14,0.0291970802919708,0.0,0,0.08333333333333333,0.0,0,0.9336838757232112,114.57142857142857,0.01,0.01
r2p4ljs,tap,1264,563,11762,14,0.24367088607594936,0.012658227848101266,16,0.20426287744227356,0.008880994671403197,5,0.7159123036481619,86.7857142857143,0.24,0.01
l1doqao,acc,708,213,6477,14,0.011299435028248588,0.0,0,0.11267605633802814,0.028169014084507043,6,0.10907022904315318,25.714285714285715,0.01,0.001
l1doqao,gyr,384,153,5933,14,0.026041666666666668,0.0,0,0.013071895424836602,0.0,0,0.7431916246752902,96.78571428571428,0.01,0.01
l1doqao,swp,29,6,1742,14,0.13793103448275862,0.0,0,0.16666666666666666,0.0,0,0.5063006516298993,19.428571428571427,0.01,0.01
l1doqao,tap,881,382,12326,14,0.22587968217934165,0.005675368898978434,5,0.23036649214659685,0.0,0,0.8028001755236904,677.7857142857142,0.24,0.01
vk43uke,acc,673,260,6465,14,0.013372956909361071,0.0,0,0.019230769230769232,0.0,0,0.6298652518638796,247.85714285714286,0.01,0.001
vk43uke,gyr,661,247,5562,14,0.01361573373676248,0.0,0,0.0,0.0,0,0.9243338163886182,295.7142857142857,0.01,0.01
vk43uke,swp,336,129,1312,14,0.026785714285714284,0.0,0,0.06976744186046513,0.0,0,0.840013530337407,84.92857142857143,0.01,0.01
vk43uke,tap,967,428,12194,14,0.23681489141675285,0.0031023784901758012,3,0.2266355140186916,0.002336448598130841,1,0.6999978878341028,193.78571428571428,0.24,0.01
cp7kjhx,acc,128,49,7221,14,0.0234375,0.0,0,0.020408163265306117,0.0,0,0.8745769271575498,194.78571428571428,0.01,0.001
cp7kjhx,gyr,128,49,6293,14,0.0625,0.0,0,0.12244897959183673,0.0,0,0.7965360859804126,144.5,0.01,0.01
