OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG,num_of_clf_that_decide
cp7kjhx,acc,128.0,49,7221,14,0.78125,0.296875,38.0,0.6326530612244898,0.04081632653061224,2,0.1322224454942498,30.071428571428573,30.071428571428573,0.0,1
cp7kjhx,gyr,128.0,49,6293,14,0.3046875,0.015625,2.0,0.3469387755102041,0.0,0,0.6350455353261185,205.85714285714286,205.85714285714286,0.0,1
cp7kjhx,swp,35.0,37,1705,14,0.34285714285714286,0.02857142857142857,1.0,0.7567567567567568,0.16216216216216217,6,0.24444018037749093,6.428571428571429,0.0,6.428571428571429,1
cp7kjhx,tap,357.0,129,13103,14,0.5574229691876751,0.12605042016806722,45.0,0.6356589147286822,0.10077519379844961,13,0.29880697921287414,9.357142857142858,0.0,9.357142857142858,1
cp7kjhx,all,,264,28322,14,,,,0.5984848484848485,0.08333333333333333,22,0.3223411870021479,8.357142857142858,0.2857142857142857,8.071428571428571,1
r13q05q,acc,837.0,139,6422,14,0.03106332138590203,0.0023894862604540022,2.0,0.02877697841726619,0.0,0,0.05432730597923174,18.785714285714285,18.785714285714285,0.0,1
r13q05q,gyr,363.0,152,5955,14,0.3278236914600551,0.024793388429752067,9.0,0.40789473684210525,0.039473684210526314,6,0.32250376764278277,5.357142857142857,5.357142857142857,0.0,1
r13q05q,swp,21.0,13,1743,14,0.5238095238095238,0.047619047619047616,1.0,0.9230769230769231,0.15384615384615385,2,0.003287125576382292,4.0,0.0,4.0,1
r13q05q,tap,274.0,112,13203,14,0.5802919708029197,0.043795620437956206,12.0,0.6428571428571429,0.044642857142857144,5,0.40074966477528146,42.357142857142854,0.0,42.357142857142854,1
r13q05q,all,,416,27323,14,,,,0.3605769230769231,0.03125,13,0.27686841342699386,15.571428571428571,2.142857142857143,13.428571428571429,1
wksm8wt,acc,90.0,39,7269,14,1.0,0.0,0.0,1.0,0.0,0,0.0,519.2142857142857,519.2142857142857,0.0,1
wksm8wt,gyr,92.0,36,6342,14,0.391304347826087,0.05434782608695652,5.0,0.7222222222222222,0.16666666666666666,6,0.37133401477649486,17.285714285714285,17.285714285714285,0.0,1
wksm8wt,swp,20.0,21,1736,14,0.4,0.05,1.0,0.8571428571428571,0.09523809523809523,2,0.18084098159821052,5.571428571428571,0.0,5.571428571428571,1
wksm8wt,tap,262.0,98,13229,14,0.6412213740458015,0.21374045801526717,56.0,0.7551020408163265,0.11224489795918367,11,0.17138084360158462,8.928571428571429,0.0,8.928571428571429,1
wksm8wt,all,,194,28576,14,,,,0.8092783505154639,0.10824742268041238,21,0.17321761370765434,8.571428571428571,0.14285714285714285,8.428571428571429,1
vk43uke,acc,673.0,260,6465,14,0.017830609212481426,0.0,0.0,0.019230769230769232,0.0,0,0.6594556639368346,277.5,277.5,0.0,1
vk43uke,gyr,661.0,247,5562,14,0.3888048411497731,0.08623298033282904,57.0,0.38461538461538464,0.06882591093117409,17,0.3434463052202292,10.714285714285714,10.714285714285714,0.0,1
vk43uke,swp,336.0,129,1312,14,0.020833333333333332,0.0,0.0,0.046511627906976744,0.0,0,0.854830105428433,87.14285714285714,0.0,87.14285714285714,1
vk43uke,tap,967.0,428,12194,14,0.6349534643226473,0.22750775594622544,220.0,0.6425233644859814,0.09345794392523364,40,0.3540977543158901,16.714285714285715,0.0,16.714285714285715,1
vk43uke,all,,1064,25533,14,,,,0.3580827067669173,0.03665413533834586,39,0.4787677758141658,21.714285714285715,7.071428571428571,14.642857142857142,1
7f0qwx8,acc,165.0,65,7168,14,0.18181818181818182,0.006060606060606061,1.0,0.38461538461538464,0.03076923076923077,2,0.08670895946384514,3.7857142857142856,3.7857142857142856,0.0,1
7f0qwx8,gyr,165.0,66,6239,14,0.21818181818181817,0.012121212121212121,2.0,0.5606060606060606,0.10606060606060606,7,0.7275131685999795,173.71428571428572,173.71428571428572,0.0,1
7f0qwx8,swp,139.0,37,1601,14,0.1366906474820144,0.0,0.0,0.08108108108108109,0.0,0,0.5727771239616564,27.428571428571427,0.0,27.428571428571427,1
