OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
ipuyiii,acc,149.0,61,7752,14,0.28859060402684567,0.013422818791946308,2.0,0.9344262295081968,0.26229508196721313,16.0,0.032722457336175306,3.2857142857142856
ipuyiii,gyr,149.0,61,7581,14,0.6577181208053692,0.1476510067114094,22.0,0.8852459016393442,0.09836065573770492,6.0,0.16191351908237236,16.0
ipuyiii,swp,265.0,112,11493,14,0.47924528301886793,0.05660377358490566,15.0,0.49107142857142855,0.0,0.0,0.0119608679097269,5.928571428571429
ipuyiii,tap,0.0,0,0,0,,,,,,,,
ipuyiii,all,,234,26826,14,,,,0.7094017094017094,0.06837606837606838,16.0,0.058210971095527676,4.571428571428571
v90gnf6,acc,522.0,215,7225,14,0.23754789272030652,0.022988505747126436,12.0,0.35348837209302325,0.013953488372093023,3.0,0.20857271341666314,23.428571428571427
v90gnf6,gyr,516.0,221,7054,14,0.6550387596899225,0.15503875968992248,80.0,0.7647058823529411,0.03619909502262444,8.0,0.16292562820298498,16.214285714285715
v90gnf6,swp,1401.0,599,9870,14,0.489650249821556,0.04853675945753034,68.0,0.6811352253756261,0.04674457429048414,28.0,0.023769439135466412,4.214285714285714
v90gnf6,tap,0.0,0,0,0,,,,,,,,
v90gnf6,all,,1035,24149,14,,,,0.6309178743961352,0.02995169082125604,31.0,0.10958119265882624,4.5
68n9ll,acc,262.0,111,7589,14,0.22900763358778625,0.019083969465648856,5.0,0.5855855855855856,0.12612612612612611,14.0,0.02691524031254741,5.0
68n9ll,gyr,262.0,111,7418,14,0.6679389312977099,0.1183206106870229,31.0,0.8378378378378378,0.0990990990990991,11.0,0.1406637629958121,17.785714285714285
68n9ll,swp,411.0,174,11285,14,0.48661800486618007,0.04866180048661801,20.0,0.6494252873563219,0.05747126436781609,10.0,0.11850196298728864,41.785714285714285
68n9ll,tap,0.0,0,0,0,,,,,,,,
68n9ll,all,,396,26292,14,,,,0.6843434343434344,0.07828282828282829,31.0,0.10914653664511352,14.785714285714286
l1doqao,acc,632.0,262,7068,14,0.27848101265822783,0.015822784810126583,10.0,0.31297709923664124,0.0,0.0,0.020053644433025763,3.0
l1doqao,gyr,632.0,262,6897,14,0.6582278481012658,0.13291139240506328,84.0,0.7862595419847328,0.061068702290076333,16.0,0.026433166126362102,5.285714285714286
l1doqao,swp,742.0,317,10811,14,0.48921832884097033,0.0444743935309973,33.0,0.6593059936908517,0.050473186119873815,16.0,0.00614446630968657,4.0
l1doqao,tap,0.0,0,0,0,,,,,,,,
l1doqao,all,,841,24776,14,,,,0.5909631391200951,0.02497027348394768,21.0,0.01894706706834048,3.857142857142857
z8taipm,acc,206.0,80,7676,14,0.2912621359223301,0.0048543689320388345,1.0,0.55,0.0875,7.0,0.07264658297891649,14.071428571428571
z8taipm,gyr,207.0,80,7504,14,0.642512077294686,0.13043478260869565,27.0,0.7875,0.0625,5.0,0.23939551033323395,31.357142857142858
z8taipm,swp,217.0,91,11562,14,0.4930875576036866,0.05069124423963134,11.0,0.7362637362637363,0.06593406593406594,6.0,0.10889614328910661,8.928571428571429
z8taipm,tap,0.0,0,0,0,,,,,,,,
z8taipm,all,,251,26742,14,,,,0.6932270916334662,0.055776892430278883,14.0,0.1377432384289657,8.071428571428571
r13q05q,acc,748.0,226,6988,14,0.2339572192513369,0.009358288770053475,7.0,0.20353982300884957,0.017699115044247787,4.0,0.03055159427250687,4.071428571428571
r13q05q,gyr,646.0,254,6891,14,0.6656346749226006,0.14705882352941177,95.0,0.7047244094488189,0.05511811023622047,14.0,0.04490809069429407,5.0
r13q05q,swp,357.0,152,11361,14,0.48179271708683474,0.03081232492997199,11.0,0.5328947368421053,0.006578947368421052,1.0,0.017412902422337503,4.214285714285714
r13q05q,tap,0.0,0,0,0,,,,,,,,
r13q05q,all,,632,25240,14,,,,0.48417721518987344,0.028481012658227847,18.0,0.031213927878081665,4.071428571428571
855whqe,acc,88.0,37,7837,14,0.3068181818181818,0.011363636363636364,1.0,0.3783783783783784,0.0,0.0,0.020603314244253844,3.5
855whqe,gyr,88.0,37,7666,14,0.6022727272727273,0.11363636363636363,10.0,0.8378378378378378,0.08108108108108109,3.0,0.041123292658384096,5.714285714285714
855whqe,swp,254.0,108,11508,14,0.49606299212598426,0.03543307086614173,9.0,0.4722222222222222,0.0,0.0,0.010088685558491099,4.0
855whqe,tap,0.0,0,0,0,,,,,,,,
855whqe,all,,182,27011,14,,,,0.5274725274725275,0.0,0.0,0.021717072113217852,4.214285714285714
ha3ev43,acc,115.0,49,7798,14,0.2782608695652174,0.017391304347826087,2.0,0.6122448979591837,0.04081632653061224,2.0,0.002203409656825806,3.0
ha3ev43,gyr,115.0,48,7628,14,0.6695652173913044,0.1826086956521739,21.0,0.9375,0.125,6.0,0.027798401873766303,6.5
ha3ev43,swp,260.0,110,11500,14,0.49230769230769234,0.08846153846153847,23.0,0.8818181818181818,0.13636363636363635,15.0,0.013687347361272997,4.0
ha3ev43,tap,0.0,0,0,0,,,,,,,,
ha3ev43,all,,207,26926,14,,,,0.8309178743961353,0.12077294685990338,25.0,0.01415451387432591,3.857142857142857
7stgp0r,acc,315.0,129,7518,14,0.26031746031746034,0.0031746031746031746,1.0,0.5581395348837209,0.06201550387596899,8.0,0.22705947862014322,18.214285714285715
7stgp0r,gyr,318.0,130,7343,14,0.6415094339622641,0.13836477987421383,44.0,0.823076923076923,0.06923076923076923,9.0,0.2228336700295437,35.714285714285715
7stgp0r,swp,361.0,153,11356,14,0.47645429362880887,0.024930747922437674,9.0,0.7843137254901961,0.0784313725490196,12.0,0.1139689369593447,8.5
7stgp0r,tap,0.0,0,0,0,,,,,,,,
7stgp0r,all,,412,26217,14,,,,0.7257281553398058,0.06310679611650485,26.0,0.17886887127640158,8.0
vk43uke,acc,644.0,273,7045,14,0.22981366459627328,0.027950310559006212,18.0,1.0,0.32967032967032966,90.0,0.025049825340607144,3.0
vk43uke,gyr,645.0,266,6880,14,0.6589147286821705,0.12403100775193798,80.0,0.924812030075188,0.14661654135338345,39.0,0.04528679070058496,5.571428571428571
vk43uke,swp,405.0,172,11293,14,0.48641975308641977,0.0691358024691358,28.0,0.813953488372093,0.11627906976744186,20.0,0.03608134841211673,4.928571428571429
