OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
z8c5rtb,acc,436.0,185,7341,14,0.3944954128440367,0.034403669724770644,15.0,0.8810810810810811,0.16756756756756758,31.0,0.09036451357617191,6.642857142857143,6.642857142857143,0.0
z8c5rtb,gyr,435.0,184,7172,14,0.5678160919540229,0.08275862068965517,36.0,0.657608695652174,0.07065217391304347,13.0,0.2562204009393367,14.642857142857142,14.642857142857142,0.0
z8c5rtb,swp,1326.0,567,9977,14,0.45098039215686275,0.05731523378582202,76.0,0.5485008818342152,0.0582010582010582,33.0,0.04436460029059041,4.714285714285714,0.0,4.714285714285714
z8c5rtb,tap,0.0,0,0,0,,,,,,,,,,
z8c5rtb,all,,936,24490,14,,,,0.6356837606837606,0.08333333333333333,78.0,0.117668457754867,4.857142857142857,1.2857142857142858,3.5714285714285716
vo441ru,acc,835.0,148,6979,14,0.2155688622754491,0.016766467065868262,14.0,0.28378378378378377,0.0,0.0,0.0,3.0,3.0,0.0
vo441ru,gyr,631.0,260,6900,14,0.5625990491283677,0.08874801901743265,56.0,0.7961538461538461,0.1,26.0,0.0,4.0,4.0,0.0
vo441ru,swp,310.0,131,11429,14,0.5096774193548387,0.05806451612903226,18.0,0.9312977099236641,0.19083969465648856,25.0,0.0003023644466452092,4.0,0.0,4.0
vo441ru,tap,0.0,0,0,0,,,,,,,,,,
vo441ru,all,,539,25308,14,,,,0.6883116883116883,0.09461966604823747,51.0,0.00013209190388089473,3.5714285714285716,1.0,2.5714285714285716
855whqe,acc,88.0,37,7837,14,0.5113636363636364,0.07954545454545454,7.0,1.0,0.21621621621621623,8.0,0.000836529242569511,4.0,4.0,0.0
855whqe,gyr,88.0,37,7666,14,0.5454545454545454,0.09090909090909091,8.0,0.972972972972973,0.1891891891891892,7.0,0.007770385272151807,4.214285714285714,4.214285714285714,0.0
855whqe,swp,254.0,108,11508,14,0.4921259842519685,0.07086614173228346,18.0,0.7314814814814815,0.10185185185185185,11.0,0.0027094321362133205,4.0,0.0,4.0
