OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
0o2grk2,acc,472.0,203,24918,51,0.014830508474576272,0.0,0.0,0.014778325123152709,0.0,0.0,0.4961105087404209,109.88235294117646,109.88235294117646,0.0
0o2grk2,gyr,476.0,196,23677,51,0.18277310924369747,0.008403361344537815,4.0,0.12244897959183673,0.0,0.0,0.6297338046639741,79.2156862745098,79.2156862745098,0.0
0o2grk2,swp,1125.0,481,45296,51,0.044444444444444446,0.0,0.0,0.056133056133056136,0.0,0.0,0.165908983705633,13.647058823529411,0.0,13.647058823529411
0o2grk2,tap,0.0,0,0,0,,,,,,,,,,
0o2grk2,all,,880,93891,51,,,,0.06136363636363636,0.0,0.0,0.35732430776662144,25.058823529411764,11.92156862745098,13.137254901960784
9gykp6g,acc,429.0,182,24982,51,0.013986013986013986,0.0,0.0,0.02197802197802198,0.0,0.0,0.8143984837404955,316.6470588235294,316.6470588235294,0.0
9gykp6g,gyr,426.0,183,23740,51,0.19953051643192488,0.0,0.0,0.2459016393442623,0.00546448087431694,1.0,0.8303845673346439,289.52941176470586,289.52941176470586,0.0
9gykp6g,swp,1401.0,599,44902,51,0.05067808708065667,0.0,0.0,0.06176961602671119,0.0,0.0,0.530642822711491,225.72549019607843,0.0,225.72549019607843
9gykp6g,tap,0.0,0,0,0,,,,,,,,,,
9gykp6g,all,,964,93624,51,,,,0.08921161825726141,0.0,0.0,0.6661662596874321,391.5882352941176,189.31372549019608,202.27450980392157
txxrlzc,acc,508.0,218,24867,51,0.013779527559055118,0.0,0.0,0.03211009174311927,0.0,0.0,0.38759789584172427,59.94117647058823,59.94117647058823,0.0
txxrlzc,gyr,512.0,216,23621,51,0.17578125,0.0078125,4.0,0.22685185185185186,0.009259259259259259,2.0,0.46068471376389225,49.86274509803921,49.86274509803921,0.0
txxrlzc,swp,1401.0,599,44902,51,0.044967880085653104,0.0,0.0,0.09181969949916527,0.0,0.0,0.1897946571349911,26.176470588235293,0.0,26.176470588235293
txxrlzc,tap,0.0,0,0,0,,,,,,,,,,
txxrlzc,all,,1033,93390,51,,,,0.1074540174249758,0.0,0.0,0.29996900019791944,22.84313725490196,8.862745098039216,13.980392156862745
lvrishm,acc,311.0,132,25150,51,0.00964630225080386,0.0,0.0,0.03787878787878788,0.0,0.0,0.6927710681996345,217.62745098039215,217.62745098039215,0.0
lvrishm,gyr,312.0,132,23905,51,0.1794871794871795,0.0,0.0,0.21212121212121213,0.007575757575757576,1.0,0.5730985797141653,95.7843137254902,95.7843137254902,0.0
lvrishm,swp,767.0,328,45807,51,0.05867014341590613,0.0,0.0,0.16158536585365854,0.012195121951219513,4.0,0.4978849164531476,162.0392156862745,0.0,162.0392156862745
lvrishm,tap,0.0,0,0,0,,,,,,,,,,
lvrishm,all,,592,94862,51,,,,0.14527027027027026,0.006756756756756757,4.0,0.5641120501905695,254.72549019607843,122.27450980392157,132.45098039215685
7stgp0r,acc,521.0,194,24878,51,0.013435700575815739,0.0,0.0,0.015463917525773196,0.0,0.0,0.8325075087215368,308.11764705882354,308.11764705882354,0.0
7stgp0r,gyr,517.0,190,23642,51,0.18568665377176016,0.0019342359767891683,1.0,0.18421052631578946,0.005263157894736842,1.0,0.5950992137081149,102.94117647058823,102.94117647058823,0.0
7stgp0r,swp,346.0,147,46409,51,0.057803468208092484,0.0,0.0,0.3741496598639456,0.04081632653061224,6.0,0.5962896497272715,277.4117647058824,0.0,277.4117647058824
7stgp0r,tap,0.0,0,0,0,,,,,,,,,,
7stgp0r,all,,531,94929,51,,,,0.1751412429378531,0.003766478342749529,2.0,0.6621808154317059,276.70588235294116,144.23529411764707,132.47058823529412
lm8ujtt,acc,349.0,143,25101,51,0.014326647564469915,0.0,0.0,0.04195804195804196,0.0,0.0,0.4000620056359834,37.3921568627451,37.3921568627451,0.0
lm8ujtt,gyr,348.0,143,23858,51,0.1896551724137931,0.0,0.0,0.3916083916083916,0.02097902097902098,3.0,0.7528737543843892,186.62745098039215,186.62745098039215,0.0
lm8ujtt,swp,545.0,232,46125,51,0.027522935779816515,0.0,0.0,0.13793103448275862,0.008620689655172414,2.0,0.5606601089982212,108.82352941176471,0.0,108.82352941176471
lm8ujtt,tap,0.0,0,0,0,,,,,,,,,,
lm8ujtt,all,,518,95084,51,,,,0.18146718146718147,0.0019305019305019305,1.0,0.5517475664823452,70.58823529411765,29.0,41.588235294117645
3zd4fdk,acc,511.0,215,24867,51,0.009784735812133072,0.0,0.0,0.05116279069767442,0.0,0.0,0.19475274152254615,10.686274509803921,10.686274509803921,0.0
