OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
im18fyp,acc,537.0,148,23338,59,0.01675977653631285,0.0,0.0,0.04054054054054054,0.0,0.0,0.15201459313131846,17.203389830508474,17.203389830508474,0.0
im18fyp,gyr,105.0,35,20516,59,0.18095238095238095,0.0,0.0,0.14285714285714285,0.0,0.0,0.2465697628328055,17.864406779661017,17.864406779661017,0.0
im18fyp,swp,0.0,0,0,0,,,,,,,,,,
im18fyp,tap,330.0,140,99596,59,0.5878787878787879,0.12121212121212122,40.0,0.5785714285714286,0.06428571428571428,9.0,0.31584274388799305,17.983050847457626,0.0,17.983050847457626
im18fyp,all,,323,143450,59,,,,0.2848297213622291,0.021671826625386997,7.0,0.2943866409186471,15.627118644067796,2.4237288135593222,13.203389830508474
ioxyr9y,acc,201.0,83,23739,59,0.029850746268656716,0.0,0.0,0.21686746987951808,0.0,0.0,0.4118167085615484,70.84745762711864,70.84745762711864,0.0
ioxyr9y,gyr,201.0,83,20372,59,0.18407960199004975,0.0,0.0,0.1686746987951807,0.0,0.0,0.4650445172780962,53.728813559322035,53.728813559322035,0.0
ioxyr9y,swp,0.0,0,0,0,,,,,,,,,,
ioxyr9y,tap,1401.0,599,98066,59,0.5560314061384726,0.13990007137758745,196.0,0.674457429048414,0.11185308848080133,67.0,0.4753738039973652,172.74576271186442,0.0,172.74576271186442
ioxyr9y,all,,765,142177,59,,,,0.5699346405228758,0.08758169934640522,67.0,0.43559431496349904,58.186440677966104,6.6440677966101696,51.54237288135593
2cf0s6s,acc,503.0,181,23339,59,0.013916500994035786,0.0,0.0,1.0,0.4972375690607735,90.0,0.0,2.0,2.0,0.0
2cf0s6s,gyr,164.0,59,20433,59,0.17073170731707318,0.0,0.0,0.5084745762711864,0.05084745762711865,3.0,0.09392457174505775,4.966101694915254,4.966101694915254,0.0
2cf0s6s,swp,0.0,0,0,0,,,,,,,,,,
2cf0s6s,tap,1215.0,520,98331,59,0.5679012345679012,0.12345679012345678,150.0,0.6134615384615385,0.07884615384615384,41.0,0.40265201833996533,57.57627118644068,0.0,57.57627118644068
2cf0s6s,all,,760,142103,59,,,,0.6973684210526315,0.16842105263157894,128.0,0.30279396862546076,19.796610169491526,0.9830508474576272,18.8135593220339
lvrishm,acc,526.0,219,23278,59,0.013307984790874524,0.0,0.0,0.0136986301369863,0.0,0.0,0.6116463495917839,135.05084745762713,135.05084745762713,0.0
lvrishm,gyr,525.0,219,19912,59,0.17904761904761904,0.0019047619047619048,1.0,0.1917808219178082,0.0,0.0,0.6128374613703005,89.71186440677967,89.71186440677967,0.0
lvrishm,swp,0.0,0,0,0,,,,,,,,,,
lvrishm,tap,1401.0,599,98066,59,0.5603140613847252,0.13990007137758745,196.0,0.5559265442404007,0.06343906510851419,38.0,0.2841786037307627,10.152542372881356,0.0,10.152542372881356
lvrishm,all,,1037,141256,59,,,,0.36451301832208294,0.03664416586306654,38.0,0.36263074506628445,11.186440677966102,0.6440677966101694,10.542372881355933
v2x6zpt,acc,82.0,32,23909,59,0.024390243902439025,0.0,0.0,0.25,0.0,0.0,0.13243354784075534,15.40677966101695,15.40677966101695,0.0
v2x6zpt,gyr,82.0,32,20542,59,0.2073170731707317,0.0,0.0,0.875,0.1875,6.0,0.2397677877495575,15.338983050847459,15.338983050847459,0.0
v2x6zpt,swp,0.0,0,0,0,,,,,,,,,,
v2x6zpt,tap,1029.0,439,98598,59,0.5490767735665695,0.1360544217687075,140.0,0.5854214123006833,0.08428246013667426,37.0,0.26372409892955123,8.59322033898305,0.0,8.59322033898305
v2x6zpt,all,,503,143049,59,,,,0.5825049701789264,0.0874751491053678,44.0,0.22764987651977978,8.23728813559322,0.2542372881355932,7.983050847457627
biysamt,acc,85.0,33,23905,59,0.047058823529411764,0.0,0.0,0.21212121212121213,0.030303030303030304,1.0,0.11634479286189048,7.203389830508475,7.203389830508475,0.0
biysamt,gyr,85.0,33,20538,59,0.18823529411764706,0.0,0.0,0.36363636363636365,0.0,0.0,0.2701553232116707,13.59322033898305,13.59322033898305,0.0
biysamt,swp,0.0,0,0,0,,,,,,,,,,
biysamt,tap,1326.0,567,98173,59,0.5686274509803921,0.13499245852187028,179.0,0.48148148148148145,0.03350970017636684,19.0,0.5010483035841212,170.11864406779662,0.0,170.11864406779662
biysamt,all,,633,142616,59,,,,0.46129541864139023,0.026856240126382307,17.0,0.3958319897581081,52.11864406779661,4.9491525423728815,47.16949152542373
1l967s6,acc,99.0,37,23887,59,0.06060606060606061,0.0,0.0,0.6486486486486487,0.24324324324324326,9.0,0.0353116394222462,2.694915254237288,2.694915254237288,0.0
1l967s6,gyr,99.0,37,20520,59,0.21212121212121213,0.0,0.0,0.7567567567567568,0.13513513513513514,5.0,0.25838679964559824,15.254237288135593,15.254237288135593,0.0
1l967s6,swp,0.0,0,0,0,,,,,,,,,,
