OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
yqhebyt,acc,834.0,148,26711,59,0.18105515587529977,0.023980815347721823,20.0,0.14864864864864866,0.0,0.0,0.00659256068326365,3.1016949152542375,3.1016949152542375,0.0
yqhebyt,gyr,212.0,79,22825,59,0.5566037735849056,0.10377358490566038,22.0,0.8354430379746836,0.12658227848101267,10.0,0.12588682936776338,11.11864406779661,11.11864406779661,0.0
yqhebyt,swp,0.0,0,0,0,,,,,,,,,,
yqhebyt,tap,784.0,335,77033,59,0.8188775510204082,0.3520408163265306,276.0,0.8865671641791045,0.08358208955223881,28.0,0.0916031080522252,11.627118644067796,0.0,11.627118644067796
yqhebyt,all,,562,126569,59,,,,0.6850533807829181,0.06761565836298933,38.0,0.07767563202717641,10.05084745762712,0.6440677966101694,9.40677966101695
7f0qwx8,acc,192.0,75,27426,59,0.4427083333333333,0.057291666666666664,11.0,0.92,0.21333333333333335,16.0,0.002464271932665025,3.0,3.0,0.0
7f0qwx8,gyr,192.0,76,22848,59,0.578125,0.07291666666666667,14.0,0.9342105263157895,0.17105263157894737,13.0,0.06829617584293987,6.576271186440678,6.576271186440678,0.0
7f0qwx8,swp,0.0,0,0,0,,,,,,,,,,
7f0qwx8,tap,847.0,361,76944,59,0.7839433293978748,0.30342384887839435,257.0,0.7423822714681441,0.06925207756232687,25.0,0.37763075764579096,54.779661016949156,0.0,54.779661016949156
7f0qwx8,all,,512,127218,59,,,,0.796875,0.10546875,54.0,0.2410899954914826,17.949152542372882,1.5254237288135593,16.423728813559322
hl7odjo,acc,819.0,168,26706,59,0.29304029304029305,0.028083028083028084,23.0,0.8392857142857143,0.21428571428571427,36.0,2.5916135385891256e-05,3.0,3.0,0.0
hl7odjo,gyr,204.0,65,22847,59,0.5931372549019608,0.10784313725490197,22.0,0.7846153846153846,0.1076923076923077,7.0,0.02551125809473377,5.966101694915254,5.966101694915254,0.0
hl7odjo,swp,0.0,0,0,0,,,,,,,,,,
hl7odjo,tap,257.0,109,77786,59,0.8015564202334631,0.26459143968871596,68.0,0.8990825688073395,0.08256880733944955,9.0,0.15481111356933516,12.88135593220339,0.0,12.88135593220339
hl7odjo,all,,342,127339,59,,,,0.847953216374269,0.15204678362573099,52.0,0.09887302067427048,11.101694915254237,0.6610169491525424,10.440677966101696
rfagb10,acc,113.0,44,27536,59,0.46017699115044247,0.07964601769911504,9.0,1.0,0.22727272727272727,10.0,0.0007129581970489889,4.0,4.0,0.0
rfagb10,gyr,112.0,44,22960,59,0.5625,0.08928571428571429,10.0,0.9545454545454546,0.18181818181818182,8.0,0.07798953628959945,6.305084745762712,6.305084745762712,0.0
rfagb10,swp,0.0,0,0,0,,,,,,,,,,
rfagb10,tap,447.0,190,77515,59,0.7919463087248322,0.30648769574944074,137.0,0.8526315789473684,0.07894736842105263,15.0,0.14967924839045185,12.338983050847459,0.0,12.338983050847459
rfagb10,all,,278,128011,59,,,,0.8920863309352518,0.12589928057553956,35.0,0.10213426385695787,10.728813559322035,0.7457627118644068,9.983050847457626
ioxyr9y,acc,364.0,153,27176,59,0.39285714285714285,0.04395604395604396,16.0,0.49673202614379086,0.05228758169934641,8.0,0.02399727464944998,3.9491525423728815,3.9491525423728815,0.0
ioxyr9y,gyr,365.0,153,22598,59,0.5917808219178082,0.0821917808219178,30.0,0.6274509803921569,0.0457516339869281,7.0,0.06366434286542674,7.677966101694915,7.677966101694915,0.0
ioxyr9y,swp,0.0,0,0,0,,,,,,,,,,
ioxyr9y,tap,1401.0,599,76152,59,0.807994289793005,0.32548179871520344,456.0,0.8263772954924875,0.07846410684474124,47.0,0.21549291169437956,14.457627118644067,0.0,14.457627118644067
ioxyr9y,all,,905,125926,59,,,,0.7370165745856354,0.06961325966850829,63.0,0.1427574920776487,12.016949152542374,0.847457627118644,11.169491525423728
w8f2wrs,acc,870.0,118,26705,59,0.2620689655172414,0.029885057471264367,26.0,0.7288135593220338,0.1271186440677966,15.0,0.010722983266982936,3.3389830508474576,3.3389830508474576,0.0
w8f2wrs,gyr,637.0,271,22208,59,0.5714285714285714,0.09576138147566719,61.0,0.5756457564575646,0.05904059040590406,16.0,0.05399965932004542,7.237288135593221,7.237288135593221,0.0
w8f2wrs,swp,0.0,0,0,0,,,,,,,,,,
w8f2wrs,tap,1401.0,599,76152,59,0.7908636688079943,0.3240542469664525,454.0,0.7946577629382304,0.07512520868113523,45.0,0.14877057134155908,11.169491525423728,0.0,11.169491525423728
w8f2wrs,all,,988,125065,59,,,,0.7267206477732794,0.07894736842105263,78.0,0.10708068910325202,9.898305084745763,0.559322033898305,9.338983050847459
v2x6zpt,acc,90.0,38,27565,59,0.5222222222222223,0.07777777777777778,7.0,0.8421052631578947,0.18421052631578946,7.0,0.00030597917931341433,4.016949152542373,4.016949152542373,0.0
v2x6zpt,gyr,89.0,38,22989,59,0.5842696629213483,0.07865168539325842,7.0,0.9473684210526315,0.13157894736842105,5.0,0.016291459735465624,5.271186440677966,5.271186440677966,0.0
v2x6zpt,swp,0.0,0,0,0,,,,,,,,,,
v2x6zpt,tap,494.0,211,77447,59,0.7874493927125507,0.3299595141700405,163.0,0.8246445497630331,0.08530805687203792,18.0,0.10241215880951537,9.847457627118644,0.0,9.847457627118644
v2x6zpt,all,,287,128001,59,,,,0.8432055749128919,0.11498257839721254,33.0,0.0651970179490662,9.101694915254237,0.576271186440678,8.525423728813559
qa94pwy,acc,224.0,89,27380,59,0.39285714285714285,0.05357142857142857,12.0,0.9775280898876404,0.2247191011235955,20.0,0.014098038243109186,3.6610169491525424,3.6610169491525424,0.0
qa94pwy,gyr,224.0,89,22803,59,0.5892857142857143,0.08482142857142858,19.0,0.7640449438202247,0.10112359550561797,9.0,0.2765107357388826,17.8135593220339,17.8135593220339,0.0
qa94pwy,swp,0.0,0,0,0,,,,,,,,,,
qa94pwy,tap,1401.0,599,76152,59,0.815845824411135,0.34403997144896503,482.0,0.8013355592654424,0.07178631051752922,43.0,0.1636105325042389,14.694915254237289,0.0,14.694915254237289
qa94pwy,all,,777,126335,59,,,,0.8172458172458172,0.09266409266409266,72.0,0.1433350861297258,12.016949152542374,0.9661016949152542,11.05084745762712
cp7kjhx,acc,138.0,55,27500,59,0.38405797101449274,0.057971014492753624,8.0,0.9636363636363636,0.2727272727272727,15.0,0.0018747367575850404,3.23728813559322,3.23728813559322,0.0
cp7kjhx,gyr,137.0,55,22924,59,0.5766423357664233,0.06569343065693431,9.0,0.9090909090909091,0.14545454545454545,8.0,0.09000890935978786,7.169491525423729,7.169491525423729,0.0
cp7kjhx,swp,0.0,0,0,0,,,,,,,,,,
cp7kjhx,tap,732.0,312,77108,59,0.819672131147541,0.3469945355191257,254.0,0.9230769230769231,0.08974358974358974,28.0,0.11622637052478046,13.05084745762712,0.0,13.05084745762712
cp7kjhx,all,,422,127532,59,,,,0.9265402843601895,0.12322274881516587,52.0,0.07917859556363137,10.694915254237289,0.7966101694915254,9.898305084745763
r2p4ljs,acc,457.0,192,27044,59,0.32603938730853393,0.037199124726477024,17.0,0.6875,0.13020833333333334,25.0,0.0392268856003666,4.440677966101695,4.440677966101695,0.0
r2p4ljs,gyr,457.0,193,22466,59,0.5776805251641138,0.07658643326039387,35.0,0.7253886010362695,0.06735751295336788,13.0,0.1792673589645586,12.728813559322035,12.728813559322035,0.0
r2p4ljs,swp,0.0,0,0,0,,,,,,,,,,
r2p4ljs,tap,1401.0,599,76152,59,0.806566738044254,0.33547466095645967,470.0,0.7779632721202003,0.07011686143572621,42.0,0.1689320750328302,12.864406779661017,0.0,12.864406779661017
r2p4ljs,all,,984,125662,59,,,,0.75,0.08231707317073171,81.0,0.13848418403004986,11.254237288135593,0.8305084745762712,10.423728813559322
n0g0zsv,acc,767.0,208,26718,59,0.23468057366362452,0.01694915254237288,13.0,0.9278846153846154,0.28365384615384615,59.0,0.0,3.0,3.0,0.0
n0g0zsv,gyr,634.0,272,22210,59,0.5678233438485805,0.10252365930599369,65.0,0.6213235294117647,0.05514705882352941,15.0,0.007403454123412494,4.4576271186440675,4.4576271186440675,0.0
n0g0zsv,swp,0.0,0,0,0,,,,,,,,,,
n0g0zsv,tap,1401.0,599,76152,59,0.8151320485367595,0.2990720913633119,419.0,0.8347245409015025,0.0667779632721202,40.0,0.16399982414847125,13.542372881355933,0.0,13.542372881355933
n0g0zsv,all,,1079,125080,59,,,,0.798887859128823,0.10750695088044486,116.0,0.10198409147271292,11.372881355932204,0.6949152542372882,10.677966101694915
r0y6x9j,acc,124.0,48,27521,59,0.45161290322580644,0.07258064516129033,9.0,0.9583333333333334,0.20833333333333334,10.0,0.0012489360786322934,4.0,4.0,0.0
r0y6x9j,gyr,124.0,48,22944,59,0.6048387096774194,0.12096774193548387,15.0,0.9375,0.14583333333333334,7.0,0.020645300100864936,5.47457627118644,5.47457627118644,0.0
r0y6x9j,swp,0.0,0,0,0,,,,,,,,,,
r0y6x9j,tap,479.0,204,77469,59,0.7390396659707724,0.22964509394572025,110.0,0.6078431372549019,0.049019607843137254,10.0,0.233495009944347,13.457627118644067,0.0,13.457627118644067
r0y6x9j,all,,300,127934,59,,,,0.7166666666666667,0.09666666666666666,29.0,0.1487412796306983,11.932203389830509,0.7796610169491526,11.152542372881356
vo441ru,acc,876.0,98,26719,59,0.2009132420091324,0.021689497716894976,19.0,0.8469387755102041,0.12244897959183673,12.0,4.4603033006244425e-05,3.0,3.0,0.0
vo441ru,gyr,636.0,259,22221,59,0.5723270440251572,0.07232704402515723,46.0,0.7413127413127413,0.08494208494208494,22.0,0.0003389402283301794,4.4576271186440675,4.4576271186440675,0.0
vo441ru,swp,0.0,0,0,0,,,,,,,,,,
vo441ru,tap,1401.0,599,76152,59,0.8151320485367595,0.3361884368308351,471.0,0.7712854757929883,0.0667779632721202,40.0,0.1226781526149889,12.966101694915254,0.0,12.966101694915254
vo441ru,all,,956,125092,59,,,,0.7709205020920502,0.07740585774058577,74.0,0.06823396482746716,10.23728813559322,0.6949152542372882,9.542372881355933
cyr6jmc,acc,470.0,184,27039,59,0.40425531914893614,0.04893617021276596,23.0,1.0,0.33152173913043476,61.0,0.00015554204337859596,3.0,3.0,0.0
cyr6jmc,gyr,161.0,65,22890,59,0.5838509316770186,0.09937888198757763,16.0,0.8307692307692308,0.09230769230769231,6.0,0.06461551250408289,6.491525423728813,6.491525423728813,0.0
cyr6jmc,swp,0.0,0,0,0,,,,,,,,,,
cyr6jmc,tap,327.0,139,77686,59,0.7920489296636085,0.3058103975535168,100.0,0.6474820143884892,0.04316546762589928,6.0,0.20020729515217262,12.847457627118644,0.0,12.847457627118644
cyr6jmc,all,,388,127615,59,,,,0.845360824742268,0.18556701030927836,72.0,0.13194722544850354,10.864406779661017,0.7457627118644068,10.11864406779661
pf3v1xv,acc,149.0,61,27483,59,0.46308724832214765,0.0738255033557047,11.0,0.9836065573770492,0.22950819672131148,14.0,0.0016961344042175123,4.067796610169491,4.067796610169491,0.0
pf3v1xv,gyr,147.0,61,22908,59,0.5918367346938775,0.10204081632653061,15.0,0.9672131147540983,0.16393442622950818,10.0,0.0565071594132389,6.440677966101695,6.440677966101695,0.0
pf3v1xv,swp,0.0,0,0,0,,,,,,,,,,
pf3v1xv,tap,1092.0,466,76594,59,0.8232600732600732,0.31227106227106227,341.0,0.8476394849785408,0.06866952789699571,32.0,0.12630345606020557,13.220338983050848,0.0,13.220338983050848
pf3v1xv,all,,588,126985,59,,,,0.8741496598639455,0.10034013605442177,59.0,0.08570764887058344,12.033898305084746,0.7966101694915254,11.23728813559322
3e6o7ih,acc,109.0,47,27537,59,0.47706422018348627,0.09174311926605505,10.0,1.0,0.23404255319148937,11.0,0.0,4.0,4.0,0.0
3e6o7ih,gyr,76.0,33,23007,59,0.618421052631579,0.06578947368421052,5.0,0.9696969696969697,0.18181818181818182,6.0,0.004678919740767924,5.101694915254237,5.101694915254237,0.0
3e6o7ih,swp,0.0,0,0,0,,,,,,,,,,
3e6o7ih,tap,728.0,310,77114,59,0.8310439560439561,0.3392857142857143,247.0,0.867741935483871,0.07419354838709677,23.0,0.07916066403796793,12.084745762711865,0.0,12.084745762711865
3e6o7ih,all,,390,127658,59,,,,0.8923076923076924,0.1076923076923077,42.0,0.050557923970392216,10.830508474576272,0.6949152542372882,10.135593220338983
k9ptsb2,acc,209.0,87,27397,59,0.44019138755980863,0.07177033492822966,15.0,0.8390804597701149,0.14942528735632185,13.0,0.010735560830954666,3.542372881355932,3.542372881355932,0.0
k9ptsb2,gyr,210.0,87,22819,59,0.5761904761904761,0.10952380952380952,23.0,0.8160919540229885,0.12643678160919541,11.0,0.10750710364126868,8.271186440677965,8.271186440677965,0.0
k9ptsb2,swp,0.0,0,0,0,,,,,,,,,,
k9ptsb2,tap,1401.0,599,76152,59,0.8222698072805139,0.32548179871520344,456.0,0.8313856427378965,0.07011686143572621,42.0,0.13431611673433583,13.169491525423728,0.0,13.169491525423728
k9ptsb2,all,,773,126368,59,,,,0.8305304010349288,0.08796895213454076,68.0,0.10023129700482258,11.474576271186441,0.8135593220338984,10.661016949152541
xd9a6f9,acc,126.0,54,27513,59,0.3888888888888889,0.023809523809523808,3.0,0.5,0.037037037037037035,2.0,0.0030553593085484985,3.0338983050847457,3.0338983050847457,0.0
xd9a6f9,gyr,126.0,54,22936,59,0.5873015873015873,0.10317460317460317,13.0,0.6666666666666666,0.05555555555555555,3.0,0.06607611105861796,7.47457627118644,7.47457627118644,0.0
xd9a6f9,swp,0.0,0,0,0,,,,,,,,,,
xd9a6f9,tap,646.0,276,77230,59,0.7863777089783281,0.30340557275541796,196.0,0.6811594202898551,0.057971014492753624,16.0,0.15352771698030113,11.830508474576272,0.0,11.830508474576272
xd9a6f9,all,,384,127679,59,,,,0.6536458333333334,0.057291666666666664,22.0,0.10270701027502113,10.491525423728813,0.6610169491525424,9.830508474576272
7nv0i9p,acc,185.0,78,27430,59,0.42162162162162165,0.06486486486486487,12.0,1.0,0.28205128205128205,22.0,0.0007367636350690462,3.1186440677966103,3.1186440677966103,0.0
7nv0i9p,gyr,184.0,78,22854,59,0.5869565217391305,0.09782608695652174,18.0,0.9615384615384616,0.15384615384615385,12.0,0.02019740422820718,5.47457627118644,5.47457627118644,0.0
7nv0i9p,swp,0.0,0,0,0,,,,,,,,,,
7nv0i9p,tap,915.0,391,76846,59,0.8229508196721311,0.3584699453551913,328.0,0.8695652173913043,0.0792838874680307,31.0,0.09821035832967424,12.220338983050848,0.0,12.220338983050848
7nv0i9p,all,,547,127130,59,,,,0.9012797074954296,0.11882998171846434,65.0,0.05881323834864727,10.05084745762712,0.7627118644067796,9.288135593220339
lvrishm,acc,477.0,196,27020,59,0.28721174004192873,0.03563941299790356,17.0,0.8418367346938775,0.18877551020408162,37.0,0.01941882058903816,3.1864406779661016,3.1864406779661016,0.0
lvrishm,gyr,476.0,197,22443,59,0.5399159663865546,0.07983193277310924,38.0,0.5939086294416244,0.06598984771573604,13.0,0.12853426454673686,7.661016949152542,7.661016949152542,0.0
lvrishm,swp,0.0,0,0,0,,,,,,,,,,
lvrishm,tap,1401.0,599,76152,59,0.841541755888651,0.331192005710207,464.0,0.8213689482470785,0.05843071786310518,35.0,0.10303789507589353,13.559322033898304,0.0,13.559322033898304
lvrishm,all,,992,125615,59,,,,0.780241935483871,0.08568548387096774,85.0,0.08644399538583147,11.813559322033898,0.7288135593220338,11.084745762711865
szmkl5t,acc,195.0,84,27414,59,0.46153846153846156,0.07179487179487179,14.0,0.9761904761904762,0.23809523809523808,20.0,2.302873986735446e-05,4.0,4.0,0.0
szmkl5t,gyr,195.0,84,22837,59,0.5692307692307692,0.07179487179487179,14.0,0.9642857142857143,0.21428571428571427,18.0,0.027252408302769773,4.915254237288136,4.915254237288136,0.0
szmkl5t,swp,0.0,0,0,0,,,,,,,,,,
