OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG
lm8ujtt,gyr,348.0,143,23858,51,0.2413793103448276,0.0028735632183908046,1.0,0.44755244755244755,0.027972027972027972,4.0,0.6483160610234409,149.90196078431373,149.90196078431373,0.0
lm8ujtt,swp,545.0,232,46125,51,0.12293577981651377,0.003669724770642202,2.0,0.1896551724137931,0.017241379310344827,4.0,0.22106407479278095,15.098039215686274,0.0,15.098039215686274
lm8ujtt,tap,0.0,0,0,0,,,,,,,,,,
lm8ujtt,all,,375,69983,51,,,,0.288,0.021333333333333333,8.0,0.365715738945601,10.549019607843137,3.450980392156863,7.098039215686274
52cxxgh,gyr,83.0,31,24235,51,0.37349397590361444,0.024096385542168676,2.0,0.41935483870967744,0.0,0.0,0.34163069126710466,14.568627450980392,14.568627450980392,0.0
52cxxgh,swp,323.0,137,46442,51,0.09597523219814241,0.0,0.0,0.2846715328467153,0.0,0.0,0.6172287847859309,176.50980392156862,0.0,176.50980392156862
52cxxgh,tap,0.0,0,0,0,,,,,,,,,,
52cxxgh,all,,168,70677,51,,,,0.30952380952380953,0.0,0.0,0.5124363063081404,91.3529411764706,27.980392156862745,63.372549019607845
b0602fr,gyr,523.0,221,23605,51,0.25239005736137665,0.009560229445506692,5.0,0.4072398190045249,0.04072398190045249,9.0,0.5977009566019919,97.62745098039215,97.62745098039215,0.0
b0602fr,swp,1401.0,599,44902,51,0.08565310492505353,0.0,0.0,0.20534223706176963,0.0,0.0,0.6064825318577778,316.84313725490193,0.0,316.84313725490193
b0602fr,tap,0.0,0,0,0,,,,,,,,,,
b0602fr,all,,820,68507,51,,,,0.2597560975609756,0.01097560975609756,9.0,0.6008089693942039,230.27450980392157,82.74509803921569,147.52941176470588
7ksck80,gyr,367.0,121,23861,51,0.2888283378746594,0.02997275204359673,11.0,0.2727272727272727,0.01652892561983471,2.0,0.5068311835383917,51.529411764705884,51.529411764705884,0.0
7ksck80,swp,243.0,103,46556,51,0.102880658436214,0.0,0.0,0.23300970873786409,0.019417475728155338,2.0,0.29455619163746233,49.3921568627451,0.0,49.3921568627451
7ksck80,tap,0.0,0,0,0,,,,,,,,,,
7ksck80,all,,224,70417,51,,,,0.2544642857142857,0.022321428571428572,5.0,0.36899845830386474,49.84313725490196,20.568627450980394,29.274509803921568
uui53he,gyr,253.0,109,23987,51,0.20553359683794467,0.0,0.0,0.14678899082568808,0.0,0.0,0.6865305435100891,124.17647058823529,124.17647058823529,0.0
uui53he,swp,576.0,246,46080,51,0.1579861111111111,0.006944444444444444,4.0,0.483739837398374,0.06097560975609756,15.0,0.2762873164487347,17.215686274509803,0.0,17.215686274509803
uui53he,tap,0.0,0,0,0,,,,,,,,,,
uui53he,all,,355,70067,51,,,,0.38028169014084506,0.036619718309859155,13.0,0.4343605291516605,26.49019607843137,8.333333333333334,18.15686274509804
ta0ko40,gyr,206.0,89,24054,51,0.2961165048543689,0.02912621359223301,6.0,0.4044943820224719,0.033707865168539325,3.0,0.47847576851865287,32.529411764705884,32.529411764705884,0.0
ta0ko40,swp,499.0,213,46190,51,0.14428857715430862,0.002004008016032064,1.0,0.25821596244131456,0.009389671361502348,2.0,0.5226678816430274,146.62745098039215,0.0,146.62745098039215
ta0ko40,tap,0.0,0,0,0,,,,,,,,,,
ta0ko40,all,,302,70244,51,,,,0.30132450331125826,0.013245033112582781,4.0,0.514196281996953,125.84313725490196,38.372549019607845,87.47058823529412
vk43uke,gyr,540.0,206,23603,51,0.26851851851851855,0.02962962962962963,16.0,0.46601941747572817,0.06796116504854369,14.0,0.389155301148068,22.941176470588236,22.941176470588236,0.0
vk43uke,swp,539.0,230,46133,51,0.12059369202226346,0.0,0.0,0.26956521739130435,0.0,0.0,0.33390908688849175,30.80392156862745,0.0,30.80392156862745
vk43uke,tap,0.0,0,0,0,,,,,,,,,,
vk43uke,all,,436,69736,51,,,,0.3623853211009174,0.034403669724770644,15.0,0.35280157840309534,24.294117647058822,9.96078431372549,14.333333333333334
855whqe,gyr,130.0,49,24170,51,0.3384615384615385,0.015384615384615385,2.0,0.4897959183673469,0.02040816326530612,1.0,0.1707511651421528,6.294117647058823,6.294117647058823,0.0
855whqe,swp,525.0,224,46153,51,0.12571428571428572,0.0038095238095238095,2.0,0.10714285714285714,0.0,0.0,0.16172578855004494,8.176470588235293,0.0,8.176470588235293
855whqe,tap,0.0,0,0,0,,,,,,,,,,
855whqe,all,,273,70323,51,,,,0.17582417582417584,0.0,0.0,0.16545108203454365,6.215686274509804,1.2941176470588236,4.921568627450981
