OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Window,Overlap
z8taipm,acc,238,101,7962,14,0.5,0.01680672268907563,4,0.40594059405940597,0.009900990099009901,1,0.13274168402798825,5.214285714285714,25,0.0
z8taipm,gyr,238,100,8006,14,0.5042016806722689,0.03361344537815126,8,0.37,0.0,0,0.46254429225600024,53.285714285714285,25,0.0
3zd4fdk,acc,251,98,7952,14,0.49800796812749004,0.04780876494023904,12,0.2857142857142857,0.02040816326530612,2,0.013012075369526263,2.0,25,0.0
3zd4fdk,gyr,251,98,7995,14,0.4940239043824701,0.0398406374501992,10,0.5408163265306123,0.07142857142857142,7,0.3031777800904374,23.214285714285715,25,0.0
ipuyiii,acc,173,70,8058,14,0.49710982658959535,0.04046242774566474,7,0.35714285714285715,0.0,0,0.19839562716975007,9.142857142857142,25,0.0
ipuyiii,gyr,173,70,8101,14,0.49710982658959535,0.03468208092485549,6,0.5142857142857142,0.04285714285714286,3,0.3839572069247472,31.642857142857142,25,0.0
ha3ev43,acc,145,57,8099,14,0.496551724137931,0.041379310344827586,6,0.38596491228070173,0.0,0,0.07398234576394999,2.5714285714285716,25,0.0
ha3ev43,gyr,140,63,8141,14,0.5,0.03571428571428571,5,0.38095238095238093,0.015873015873015872,1,0.13588811850091626,2.7857142857142856,25,0.0
b0602fr,acc,617,254,7430,14,0.4991896272285251,0.022690437601296597,14,0.6338582677165354,0.06692913385826772,17,0.2350885437042556,27.857142857142858,25,0.0
b0602fr,gyr,613,258,7473,14,0.499184339314845,0.040783034257748776,25,0.5891472868217055,0.06589147286821706,17,0.42801600007685997,55.0,25,0.0
l1doqao,acc,578,247,7476,14,0.5017301038062284,0.02422145328719723,14,0.5182186234817814,0.016194331983805668,4,0.10403274992801088,9.357142857142858,25,0.0
l1doqao,gyr,579,247,7518,14,0.5008635578583766,0.024179620034542316,14,0.4817813765182186,0.024291497975708502,6,0.2026150387591281,9.928571428571429,25,0.0
855whqe,acc,104,45,8152,14,0.5,0.0,0,0.5777777777777777,0.022222222222222223,1,0.11703792644934728,10.357142857142858,25,0.0
855whqe,gyr,105,45,8194,14,0.5047619047619047,0.009523809523809525,1,0.3111111111111111,0.0,0,0.24222143348664968,6.714285714285714,25,0.0
v90gnf6,acc,610,257,7434,14,0.5016393442622951,0.07377049180327869,45,0.7003891050583657,0.12840466926070038,33,0.43899169970104035,47.0,25,0.0
v90gnf6,gyr,611,257,7476,14,0.502454991816694,0.0425531914893617,26,0.4708171206225681,0.027237354085603113,7,0.29402538228360936,10.928571428571429,25,0.0
ap1oez8,acc,176,68,8057,14,0.48863636363636365,0.011363636363636364,2,0.3382352941176471,0.0,0,0.03181402965143199,2.0,25,0.0
ap1oez8,gyr,176,68,8100,14,0.5,0.028409090909090908,5,0.47058823529411764,0.014705882352941176,1,0.33005402682244345,19.0,25,0.0
r13q05q,acc,622,185,7494,14,0.5,0.06109324758842444,38,0.6486486486486487,0.0918918918918919,17,0.050758795949258195,2.2857142857142856,25,0.0
r13q05q,gyr,586,236,7522,14,0.5,0.020477815699658702,12,0.6059322033898306,0.09745762711864407,23,0.21961314082687117,11.857142857142858,25,0.0
vk43uke,acc,579,240,7482,14,0.49740932642487046,0.05008635578583765,29,0.0,0.0,0,0.12870160764981337,3.2142857142857144,25,0.0
vk43uke,gyr,579,241,7524,14,0.5008635578583766,0.025906735751295335,15,0.34854771784232363,0.012448132780082987,3,0.2905629388347384,16.785714285714285,25,0.0
vo441ru,acc,683,121,7497,14,0.5007320644216691,0.05417276720351391,37,0.6033057851239669,0.0743801652892562,9,0.004380380164875659,2.0,25,0.0
vo441ru,gyr,582,244,7518,14,0.5,0.05154639175257732,30,0.5737704918032787,0.07377049180327869,18,0.0003376698659734675,2.0,25,0.0
68n9ll,acc,330,132,7839,14,0.5,0.05757575757575758,19,0.2727272727272727,0.030303030303030304,4,0.20300764448959474,12.214285714285714,25,0.0
68n9ll,gyr,330,133,7881,14,0.49696969696969695,0.03636363636363636,12,0.3684210526315789,0.03007518796992481,4,0.5019145694815291,51.785714285714285,25,0.0
7stgp0r,acc,371,154,7776,14,0.49595687331536387,0.05121293800539083,19,0.33116883116883117,0.025974025974025976,4,0.4774531538612066,117.78571428571429,25,0.0
7stgp0r,gyr,373,154,7817,14,0.4959785522788204,0.03485254691689008,13,0.4155844155844156,0.032467532467532464,5,0.3814653767372018,16.0,25,0.0
z8c5rtb,acc,558,237,7506,14,0.5,0.043010752688172046,24,0.4177215189873418,0.012658227848101266,3,0.5618573589088327,146.92857142857142,25,0.0
z8c5rtb,gyr,558,236,7550,14,0.5,0.03225806451612903,18,0.3305084745762712,0.00423728813559322,1,0.4118501951745759,27.285714285714285,25,0.0
z8taipm,acc,255,108,8502,14,0.4980392156862745,0.0392156862745098,10,0.3148148148148148,0.0,0,0.12744742735586564,4.5,25,0.1
z8taipm,gyr,255,108,8533,14,0.5058823529411764,0.047058823529411764,12,0.4074074074074074,0.018518518518518517,2,0.49196903219397425,67.57142857142857,25,0.1
3zd4fdk,acc,261,101,8503,14,0.5095785440613027,0.09195402298850575,24,0.38613861386138615,0.039603960396039604,4,0.019206102644052835,2.0,25,0.1
3zd4fdk,gyr,262,102,8532,14,0.5038167938931297,0.04198473282442748,11,0.5490196078431373,0.058823529411764705,6,0.3164698179297666,27.785714285714285,25,0.1
ipuyiii,acc,185,76,8604,14,0.4864864864864865,0.032432432432432434,6,0.34210526315789475,0.0,0,0.17346410498395137,12.357142857142858,25,0.1
ipuyiii,gyr,185,76,8635,14,0.4972972972972973,0.005405405405405406,1,0.5394736842105263,0.06578947368421052,5,0.39918252763126577,47.142857142857146,25,0.1
ha3ev43,acc,158,60,8647,14,0.4810126582278481,0.0379746835443038,6,0.5,0.03333333333333333,2,0.0968220832206149,2.857142857142857,25,0.1
ha3ev43,gyr,151,67,8678,14,0.5033112582781457,0.026490066225165563,4,0.31343283582089554,0.014925373134328358,1,0.12155530619353862,5.142857142857143,25,0.1
b0602fr,acc,649,268,7948,14,0.49922958397534667,0.03852080123266564,25,0.6567164179104478,0.08955223880597014,24,0.22849518932965251,40.5,25,0.1
b0602fr,gyr,641,276,7979,14,0.500780031201248,0.0483619344773791,31,0.5688405797101449,0.050724637681159424,14,0.41880956629909605,62.214285714285715,25,0.1
l1doqao,acc,622,265,7978,14,0.5016077170418006,0.027331189710610933,17,0.5509433962264151,0.04150943396226415,11,0.11466091233860062,10.714285714285714,25,0.1
l1doqao,gyr,623,265,8008,14,0.49919743178170145,0.03531300160513644,22,0.4641509433962264,0.011320754716981131,3,0.1960595350503065,9.785714285714286,25,0.1
855whqe,acc,112,47,8706,14,0.5089285714285714,0.008928571428571428,1,0.48936170212765956,0.0,0,0.13728749966021828,23.642857142857142,25,0.1
855whqe,gyr,112,47,8737,14,0.5089285714285714,0.017857142857142856,2,0.44680851063829785,0.02127659574468085,1,0.2810107746786586,12.285714285714286,25,0.1
v90gnf6,acc,652,272,7941,14,0.49846625766871167,0.06595092024539877,43,0.7279411764705882,0.1323529411764706,36,0.4581035726152862,46.5,25,0.1
v90gnf6,gyr,651,271,7974,14,0.500768049155146,0.03379416282642089,22,0.44649446494464945,0.007380073800738007,2,0.2839580881021816,6.285714285714286,25,0.1
ap1oez8,acc,186,71,8608,14,0.5161290322580645,0.026881720430107527,5,0.4084507042253521,0.028169014084507043,2,0.039372782546057326,5.214285714285714,25,0.1
ap1oez8,gyr,185,71,8640,14,0.5027027027027027,0.03783783783783784,7,0.5633802816901409,0.014084507042253521,1,0.3237527786480015,17.5,25,0.1
r13q05q,acc,675,200,7990,14,0.49925925925925924,0.054814814814814816,37,0.565,0.045,9,0.045825968863704145,2.2857142857142856,25,0.1
