OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Window,Overlap
6jtbpdh,acc,466,200,5108,14,0.4978540772532189,0.1351931330472103,63,0.31,0.075,15,0.10594704835987352,8.214285714285714,25,0.0
6jtbpdh,gyr,467,200,5053,14,0.4989293361884368,0.09850107066381156,46,0.435,0.09,18,0.33761254494443843,9.428571428571429,25,0.0
6jtbpdh,all,933,400,10161,14,0.4983922829581994,0.10503751339764202,98,0.3725,0.065,26,0.2203920099459153,4.142857142857143,25,0.0
3zd4fdk,acc,186,80,5508,14,0.5,0.10215053763440861,19,0.3,0.05,4,0.002840907714372988,2.0,25,0.0
3zd4fdk,gyr,187,80,5453,14,0.5133689839572193,0.0855614973262032,16,0.4,0.025,2,0.31421886972206053,7.857142857142857,25,0.0
3zd4fdk,all,373,160,10961,14,0.5067024128686327,0.0938337801608579,35,0.35,0.04375,7,0.15755101029382693,2.5714285714285716,25,0.0
rfagb10,acc,133,51,5590,14,0.49624060150375937,0.10526315789473684,14,0.0,0.0,0,0.1176728482699547,2.7142857142857144,25,0.0
rfagb10,gyr,133,51,5536,14,0.48872180451127817,0.09022556390977443,12,0.5294117647058824,0.09803921568627451,5,0.5580267987092284,30.0,25,0.0
rfagb10,all,266,102,11126,14,0.4924812030075188,0.10150375939849623,27,0.2647058823529412,0.0,0,0.3358834188562702,3.5,25,0.0
ioxyr9y,acc,430,184,5160,14,0.49767441860465117,0.11627906976744186,50,0.5760869565217391,0.14130434782608695,26,0.4576557053159613,14.5,25,0.0
ioxyr9y,gyr,431,184,5105,14,0.4988399071925754,0.09744779582366589,42,0.5815217391304348,0.13043478260869565,24,0.3897113094469668,7.5,25,0.0
ioxyr9y,all,861,368,10265,14,0.49825783972125437,0.10569105691056911,91,0.5788043478260869,0.1331521739130435,49,0.4230822589200089,10.428571428571429,25,0.0
uui53he,acc,552,231,4991,14,0.4963768115942029,0.12318840579710146,68,0.4329004329004329,0.09523809523809523,22,0.24567809770054255,7.071428571428571,25,0.0
uui53he,gyr,553,231,4936,14,0.5009041591320073,0.10849909584086799,60,0.48484848484848486,0.09090909090909091,21,0.4869812478682006,17.142857142857142,25,0.0
uui53he,all,1105,462,9927,14,0.4986425339366516,0.11221719457013575,124,0.4588744588744589,0.08441558441558442,39,0.365224122380546,7.142857142857143,25,0.0
ipuyiii,acc,256,106,5412,14,0.50390625,0.1015625,26,0.5094339622641509,0.09433962264150944,10,0.08911605566997778,3.5714285714285716,25,0.0
ipuyiii,gyr,256,107,5357,14,0.50390625,0.109375,28,0.42990654205607476,0.08411214953271028,9,0.268408807786786,4.357142857142857,25,0.0
ipuyiii,all,512,213,10769,14,0.50390625,0.103515625,53,0.4694835680751174,0.08450704225352113,18,0.178446140151671,4.214285714285714,25,0.0
677l8bq,acc,458,196,5120,14,0.5,0.10480349344978165,48,0.3622448979591837,0.03571428571428571,7,0.24605458512261819,12.642857142857142,25,0.0
677l8bq,gyr,458,196,5066,14,0.5,0.09388646288209607,43,0.6020408163265306,0.1683673469387755,33,0.7813577153588342,192.42857142857142,25,0.0
677l8bq,all,916,392,10186,14,0.5,0.10262008733624454,94,0.48214285714285715,0.08163265306122448,32,0.511383857180879,31.285714285714285,25,0.0
v2x6zpt,acc,120,47,5607,14,0.5083333333333333,0.1,12,0.3829787234042553,0.02127659574468085,1,0.03222084331489667,4.285714285714286,25,0.0
v2x6zpt,gyr,120,47,5553,14,0.5,0.08333333333333333,10,0.425531914893617,0.06382978723404255,3,0.20193427059627564,5.5,25,0.0
v2x6zpt,all,240,94,11160,14,0.5041666666666667,0.09166666666666666,22,0.40425531914893614,0.031914893617021274,3,0.11611293900271623,3.142857142857143,25,0.0
gy48qmy,acc,118,50,5606,14,0.4915254237288136,0.07627118644067797,9,0.12,0.0,0,0.04648036435095264,5.571428571428571,25,0.0
gy48qmy,gyr,119,50,5551,14,0.5042016806722689,0.11764705882352941,14,0.18,0.0,0,0.1580108965470446,4.357142857142857,25,0.0
gy48qmy,all,237,100,11157,14,0.4978902953586498,0.0970464135021097,23,0.15,0.0,0,0.10174096168085432,3.5714285714285716,25,0.0
508rk86,acc,268,113,5393,14,0.5,0.08208955223880597,22,0.4336283185840708,0.08849557522123894,10,0.13995365242309313,4.5,25,0.0
508rk86,gyr,229,90,5401,14,0.5021834061135371,0.09606986899563319,22,0.37777777777777777,0.03333333333333333,3,0.2903882012773442,8.714285714285714,25,0.0
508rk86,all,497,203,10794,14,0.5010060362173038,0.1006036217303823,50,0.4088669950738916,0.054187192118226604,11,0.21520311471923917,4.785714285714286,25,0.0
7nv0i9p,acc,215,89,5470,14,0.49767441860465117,0.11627906976744186,25,0.42696629213483145,0.07865168539325842,7,0.1475722294739639,3.642857142857143,25,0.0
7nv0i9p,gyr,214,90,5416,14,0.5,0.102803738317757,22,0.4444444444444444,0.044444444444444446,4,0.22083147794160105,3.9285714285714284,25,0.0
7nv0i9p,all,429,179,10886,14,0.4988344988344988,0.09324009324009325,40,0.43575418994413406,0.061452513966480445,11,0.18338997838044444,4.0,25,0.0
1uep0cy,acc,123,51,5600,14,0.4878048780487805,0.0975609756097561,12,0.09803921568627451,0.0,0,0.0020143898331026265,2.357142857142857,25,0.0
