OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
b0602fr,acc,102,44,1898,14,0.5,0.11764705882352941,12,0.36363636363636365,0.06818181818181818,3,0.0648681193495407,3.7857142857142856
b0602fr,gyr,102,44,1019,14,0.5,0.06862745098039216,7,0.36363636363636365,0.06818181818181818,3,0.15580269963060292,2.2857142857142856
b0602fr,swp,97,32,1648,14,0.4948453608247423,0.09278350515463918,9,0.40625,0.03125,1,0.33949623451650746,6.642857142857143
b0602fr,tap,1304,567,11718,14,0.495398773006135,0.0843558282208589,110,0.47266313932980597,0.07936507936507936,45,0.36786586935456267,7.142857142857143
b0602fr,all,1605,687,16283,14,0.49595015576323986,0.08473520249221184,136,0.4556040756914119,0.07860262008733625,54,0.3196139219212847,6.285714285714286
pemzvif,acc,18,8,2018,14,0.5555555555555556,0.05555555555555555,1,0.0,0.0,0,0.0,2.0
pemzvif,gyr,18,8,1139,14,0.5555555555555556,0.1111111111111111,2,0.0,0.0,0,0.0,2.0
pemzvif,swp,23,12,1742,14,0.5217391304347826,0.08695652173913043,2,0.08333333333333333,0.0,0,0.08956612646753093,3.0
pemzvif,tap,233,97,13259,14,0.4978540772532189,0.12017167381974249,28,0.5257731958762887,0.09278350515463918,9,0.4055642218012415,6.571428571428571
pemzvif,all,292,125,18158,14,0.5068493150684932,0.11643835616438356,34,0.416,0.04,5,0.2980520142066541,10.071428571428571
r13q05q,acc,350,61,1633,14,0.49714285714285716,0.16857142857142857,59,0.03278688524590164,0.0,0,0.0,2.0
r13q05q,gyr,46,19,1100,14,0.5434782608695652,0.10869565217391304,5,0.10526315789473684,0.0,0,0.0,2.0
r13q05q,swp,21,13,1743,14,0.47619047619047616,0.0,0,0.07692307692307693,0.0,0,0.01537556635260511,2.0
r13q05q,tap,274,112,13203,14,0.49635036496350365,0.08029197080291971,22,0.4017857142857143,0.044642857142857144,5,0.4126380670080375,5.714285714285714
r13q05q,all,691,205,17679,14,0.4992764109985528,0.12735166425470332,88,0.24390243902439024,0.01951219512195122,4,0.3026536630700666,10.785714285714286
b8g4bl5,acc,27,11,2006,14,0.5925925925925926,0.18518518518518517,5,0.36363636363636365,0.0,0,0.014188624326708522,2.0
b8g4bl5,gyr,27,11,1127,14,0.5185185185185185,0.07407407407407407,2,0.36363636363636365,0.09090909090909091,1,0.0,2.0
b8g4bl5,swp,94,32,1651,14,0.5,0.0851063829787234,8,0.46875,0.0625,2,0.14868928525067102,2.7142857142857144
b8g4bl5,tap,163,77,13349,14,0.5030674846625767,0.09202453987730061,15,0.7402597402597403,0.24675324675324675,19,0.37859211433748097,11.214285714285714
b8g4bl5,all,311,131,18133,14,0.5112540192926045,0.09646302250803858,30,0.6106870229007634,0.16030534351145037,21,0.28915537817562065,7.785714285714286
06mdn3c,acc,22,10,2012,14,0.6363636363636364,0.18181818181818182,4,0.2,0.0,0,0.009386294587659438,2.0
06mdn3c,gyr,22,10,1133,14,0.5454545454545454,0.09090909090909091,2,0.5,0.1,1,0.07579274615933804,2.5
06mdn3c,swp,137,8,1632,14,0.48905109489051096,0.10218978102189781,14,0.5,0.125,1,0.35697909218306173,7.0
