OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL
z8c5rtb,acc,64,27,2064,14,0.546875,0.015625,1.0,0.4444444444444444,0.0,0.0,0.19534750803104353,21.142857142857142
z8c5rtb,gyr,64,27,1545,14,0.5,0.0,0.0,0.37037037037037035,0.0,0.0,0.16487421941721306,10.142857142857142
z8c5rtb,swp,300,300,300,1,0.5033333333333333,0.0033333333333333335,1.0,0.5033333333333333,0.0033333333333333335,1.0,0.5033333333333333,238.0
z8c5rtb,tap,0,0,0,0,,,,,,,,
z8c5rtb,all,428,354,3909,15,0.5093457943925234,0.004672897196261682,2.0,0.4887005649717514,0.002824858757062147,1.0,0.20143765126793897,32.53333333333333
lvwfjft,acc,48,21,2086,14,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.13446298969408213,19.428571428571427
lvwfjft,gyr,48,20,1568,14,0.4791666666666667,0.0,0.0,0.4,0.0,0.0,0.2495204353773794,25.5
lvwfjft,swp,254,254,254,1,0.49606299212598426,0.011811023622047244,3.0,0.49606299212598426,0.011811023622047244,3.0,0.49606299212598426,4.0
lvwfjft,tap,0,0,0,0,,,,,,,,
lvwfjft,all,350,295,3908,15,0.4942857142857143,0.002857142857142857,1.0,0.47796610169491527,0.010169491525423728,3.0,0.2118857157161438,24.933333333333334
vk43uke,acc,239,53,1863,14,0.49372384937238495,0.04184100418410042,10.0,0.0,0.0,0.0,0.0,4.0
vk43uke,gyr,66,26,1544,14,0.5303030303030303,0.015151515151515152,1.0,0.038461538461538464,0.0,0.0,0.0005903187721369539,4.0
vk43uke,swp,539,539,539,1,0.49907235621521334,0.02040816326530612,11.0,0.49907235621521334,0.02040816326530612,11.0,0.49907235621521334,68.0
vk43uke,tap,0,0,0,0,,,,,,,,
vk43uke,all,844,618,3946,15,0.5,0.02132701421800948,18.0,0.4368932038834951,0.012944983818770227,8.0,0.03350137547181882,8.266666666666667
0o2grk2,acc,96,41,2018,14,0.5104166666666666,0.0,0.0,0.07317073170731707,0.0,0.0,0.01432943064522012,4.642857142857143
0o2grk2,gyr,96,41,1499,14,0.5104166666666666,0.010416666666666666,1.0,0.3170731707317073,0.0,0.0,0.12171817109551471,9.714285714285714
0o2grk2,swp,1125,1125,1125,1,0.49955555555555553,0.005333333333333333,6.0,0.49955555555555553,0.005333333333333333,6.0,0.49955555555555553,4.0
0o2grk2,tap,0,0,0,0,,,,,,,,
0o2grk2,all,1317,1207,4642,15,0.5011389521640092,0.0037965072133637054,5.0,0.4788732394366197,0.004142502071251036,5.0,0.09656451797736089,7.4
ha3ev43,acc,40,17,2098,14,0.425,0.025,1.0,0.4117647058823529,0.0,0.0,0.0672849618613435,6.5
ha3ev43,gyr,40,17,1579,14,0.5,0.0,0.0,0.47058823529411764,0.0,0.0,0.35172295688413685,50.92857142857143
ha3ev43,swp,417,417,417,1,0.49640287769784175,0.02158273381294964,9.0,0.49640287769784175,0.02158273381294964,9.0,0.49640287769784175,22.0
ha3ev43,tap,0,0,0,0,,,,,,,,
ha3ev43,all,497,451,4094,15,0.4909456740442656,0.01609657947686117,8.0,0.49223946784922396,0.019955654101995565,9.0,0.22528680264060355,30.533333333333335
yqhebyt,acc,118,51,1986,14,0.5,0.06779661016949153,8.0,0.0392156862745098,0.0,0.0,0.0,4.0
yqhebyt,gyr,88,33,1515,14,0.5113636363636364,0.022727272727272728,2.0,0.18181818181818182,0.0,0.0,0.0,4.0
yqhebyt,swp,1401,1401,1401,1,0.49964311206281226,0.014989293361884369,21.0,0.49964311206281226,0.014989293361884369,21.0,0.49964311206281226,4.0
yqhebyt,tap,0,0,0,0,,,,,,,,
yqhebyt,all,1607,1485,4902,15,0.5003111387678905,0.017423771001866834,28.0,0.4767676767676768,0.011447811447811448,17.0,0.033309540804187486,4.0
ap1oez8,acc,27,12,2116,14,0.5185185185185185,0.0,0.0,0.0,0.0,0.0,0.0024667524667524665,4.0
ap1oez8,gyr,27,12,1597,14,0.5925925925925926,0.0,0.0,0.08333333333333333,0.0,0.0,0.06961425369864888,5.714285714285714
ap1oez8,swp,239,239,239,1,0.5062761506276151,0.0041841004184100415,1.0,0.5062761506276151,0.0041841004184100415,1.0,0.5062761506276151,239.0
ap1oez8,tap,0,0,0,0,,,,,,,,
ap1oez8,all,293,263,3952,15,0.515358361774744,0.0,0.0,0.46387832699619774,0.0038022813688212928,1.0,0.06735734359027491,20.466666666666665
b0602fr,acc,104,44,2007,14,0.5,0.0,0.0,0.2727272727272727,0.0,0.0,0.09316442433004403,10.285714285714286
b0602fr,gyr,104,44,1488,14,0.49038461538461536,0.0,0.0,0.29545454545454547,0.0,0.0,0.2747132958298446,35.57142857142857
b0602fr,swp,1401,1401,1401,1,0.4989293361884368,0.006423982869379015,9.0,0.4989293361884368,0.006423982869379015,9.0,0.4989293361884368,433.0
b0602fr,tap,0,0,0,0,,,,,,,,
b0602fr,all,1609,1489,4896,15,0.49844623990055936,0.004972032318210068,8.0,0.4862323707186031,0.006044325050369375,9.0,0.2038258073421195,44.13333333333333
sxvkh3b,acc,109,47,1999,14,0.5045871559633027,0.009174311926605505,1.0,0.1276595744680851,0.0,0.0,0.032119178335382206,4.0
sxvkh3b,gyr,109,47,1480,14,0.4954128440366973,0.0,0.0,0.14893617021276595,0.0,0.0,0.1557530870077016,12.571428571428571
sxvkh3b,swp,1073,1073,1073,1,0.5013979496738118,0.004659832246039142,5.0,0.5013979496738118,0.004659832246039142,5.0,0.5013979496738118,29.0
sxvkh3b,tap,0,0,0,0,,,,,,,,
sxvkh3b,all,1291,1167,4552,15,0.5011618900077459,0.005422153369481022,7.0,0.4721508140531277,0.004284490145672665,5.0,0.12068659090518981,12.333333333333334
v90gnf6,acc,119,51,1985,14,0.48739495798319327,0.0,0.0,0.4117647058823529,0.0,0.0,0.1258051782120105,13.785714285714286
v90gnf6,gyr,119,51,1466,14,0.48739495798319327,0.008403361344537815,1.0,0.39215686274509803,0.0,0.0,0.2639440264704888,21.071428571428573
v90gnf6,swp,1401,1401,1401,1,0.5003568879371877,0.01284796573875803,18.0,0.5003568879371877,0.01284796573875803,18.0,0.5003568879371877,118.0
v90gnf6,tap,0,0,0,0,,,,,,,,
v90gnf6,all,1639,1503,4852,15,0.4984746796827334,0.007931665649786455,13.0,0.49367930805056554,0.012641383898868928,19.0,0.21396549679254623,30.466666666666665
txxrlzc,acc,101,43,2011,14,0.5247524752475248,0.0,0.0,0.20930232558139536,0.0,0.0,0.057442814021761386,8.857142857142858
txxrlzc,gyr,101,43,1492,14,0.5148514851485149,0.009900990099009901,1.0,0.4883720930232558,0.0,0.0,0.06135367768074423,7.642857142857143
txxrlzc,swp,1401,1401,1401,1,0.4989293361884368,0.007851534618129907,11.0,0.4989293361884368,0.007851534618129907,11.0,0.4989293361884368,229.0
txxrlzc,tap,0,0,0,0,,,,,,,,
txxrlzc,all,1603,1487,4904,15,0.5015595757953837,0.0056144728633811605,9.0,0.4902488231338265,0.007397444519166106,11.0,0.08831574693433082,27.333333333333332
r13q05q,acc,332,13,1810,14,0.49698795180722893,0.05120481927710843,17.0,0.0,0.0,0.0,0.0,4.0
r13q05q,gyr,53,22,1561,14,0.49056603773584906,0.05660377358490566,3.0,0.045454545454545456,0.0,0.0,0.0,4.0
r13q05q,swp,262,262,262,1,0.5,0.007633587786259542,2.0,0.5,0.007633587786259542,2.0,0.5,4.0
r13q05q,tap,0,0,0,0,,,,,,,,
r13q05q,all,647,297,3633,15,0.49768160741885625,0.021638330757341576,14.0,0.4444444444444444,0.006734006734006734,2.0,0.03333333333333333,4.0
z8taipm,acc,105,45,2005,14,0.5333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.011245711154775432,4.0
z8taipm,gyr,105,45,1486,14,0.5047619047619047,0.009523809523809525,1.0,0.35555555555555557,0.022222222222222223,1.0,0.11329044304320084,5.857142857142857
z8taipm,swp,1401,1401,1401,1,0.49964311206281226,0.006423982869379015,9.0,0.49964311206281226,0.006423982869379015,9.0,0.49964311206281226,31.0
z8taipm,tap,0,0,0,0,,,,,,,,
z8taipm,all,1611,1491,4892,15,0.5021725636250776,0.006207324643078833,10.0,0.4902749832327297,0.00670690811535882,10.0,0.09147728955409334,8.533333333333333
3zd4fdk,acc,101,43,2011,14,0.5247524752475248,0.0,0.0,0.3488372093023256,0.0,0.0,0.0,4.0
3zd4fdk,gyr,101,43,1492,14,0.49504950495049505,0.0,0.0,0.32558139534883723,0.0,0.0,0.11416997811582219,10.071428571428571
3zd4fdk,swp,1401,1401,1401,1,0.5017844396859387,0.004996431120628123,7.0,0.5017844396859387,0.004996431120628123,7.0,0.5017844396859387,4.0
3zd4fdk,tap,0,0,0,0,,,,,,,,
3zd4fdk,all,1603,1487,4904,15,0.5028072364316906,0.006238303181534623,10.0,0.49226630800269,0.004707464694014795,7.0,0.08592138976896972,6.466666666666667
855whqe,acc,31,13,2111,14,0.5483870967741935,0.0,0.0,0.15384615384615385,0.0,0.0,0.004464285714285714,4.0
855whqe,gyr,31,13,1592,14,0.5483870967741935,0.0,0.0,0.23076923076923078,0.0,0.0,0.03157064575288481,5.928571428571429
855whqe,swp,525,525,525,1,0.5028571428571429,0.009523809523809525,5.0,0.5028571428571429,0.009523809523809525,5.0,0.5028571428571429,4.0
855whqe,tap,0,0,0,0,,,,,,,,
855whqe,all,587,551,4228,15,0.5076660988074957,0.01192504258943782,7.0,0.4882032667876588,0.009074410163339383,5.0,0.05014782507212198,5.8
