case,mean_std,overlap,screen,sensor,window
case1,0.014893748717357037,0.0,Mathisis,acc,50.0
case1,0.015023790899159183,0.3,Mathisis,acc,50.0
case1,0.015024287129661118,0.9,Mathisis,acc,50.0
case1,0.012297698899849772,0.0,Mathisis,acc,200.0
case1,0.01238532276339292,0.3,Mathisis,acc,200.0
case1,0.012392968850971296,0.9,Mathisis,acc,200.0
case1,0.011106198838629941,0.0,Mathisis,acc,500.0
case1,0.011037653788870009,0.3,Mathisis,acc,500.0
case1,0.011015530081997337,0.9,Mathisis,acc,500.0
case1,0.010231408832874158,0.0,Mathisis,acc,1000.0
case1,0.010280827091133319,0.3,Mathisis,acc,1000.0
case1,0.010253019865712991,0.9,Mathisis,acc,1000.0
case1,0.009910705621340108,0.0,Mathisis,acc,1500.0
case1,0.009795623015942261,0.3,Mathisis,acc,1500.0
case1,0.009882631795075742,0.9,Mathisis,acc,1500.0
case1,0.03040412956966732,0.0,Mathisis,gyr,50.0
case1,0.030985615268796982,0.3,Mathisis,gyr,50.0
case1,0.030745080590094096,0.9,Mathisis,gyr,50.0
case1,0.02032246426844545,0.0,Mathisis,gyr,200.0
case1,0.0206968804633342,0.3,Mathisis,gyr,200.0
case1,0.02037235089708137,0.9,Mathisis,gyr,200.0
case1,0.016907965043596918,0.0,Mathisis,gyr,500.0
case1,0.01700720418033318,0.3,Mathisis,gyr,500.0
case1,0.01699633506094881,0.9,Mathisis,gyr,500.0
case1,0.015587244605186274,0.0,Mathisis,gyr,1000.0
case1,0.015493889675094906,0.3,Mathisis,gyr,1000.0
case1,0.01562734274577716,0.9,Mathisis,gyr,1000.0
case1,0.015086475917712434,0.0,Mathisis,gyr,1500.0
case1,0.014997213373300804,0.3,Mathisis,gyr,1500.0
case1,0.015030675224983912,0.9,Mathisis,gyr,1500.0
case1,34.96689513050795,0.0,Focus,acc,50.0
case1,29.257139367823736,0.3,Focus,acc,50.0
case1,34.96818936563233,0.9,Focus,acc,50.0
case1,17.48190710643372,0.0,Focus,acc,200.0
case1,14.629056408703375,0.3,Focus,acc,200.0
case1,17.48408981229576,0.9,Focus,acc,200.0
case1,11.056443089737622,0.0,Focus,acc,500.0
case1,9.252158314653055,0.3,Focus,acc,500.0
case1,11.057903384564256,0.9,Focus,acc,500.0
case1,7.817954673626205,0.0,Focus,acc,1000.0
case1,9.246087509861681,0.3,Focus,acc,1000.0
case1,7.819395087127531,0.9,Focus,acc,1000.0
case1,6.383294251663204,0.0,Focus,acc,1500.0
case1,7.5518106085026915,0.3,Focus,acc,1500.0
case1,6.384175410125216,0.9,Focus,acc,1500.0
case1,0.03004137134512175,0.0,Focus,gyr,50.0
case1,0.030366978835420815,0.3,Focus,gyr,50.0
case1,0.030470052895498197,0.9,Focus,gyr,50.0
case1,0.01622749668681922,0.0,Focus,gyr,200.0
case1,0.016137020422783643,0.3,Focus,gyr,200.0
case1,0.01634191439819624,0.9,Focus,gyr,200.0
case1,0.012099732329635795,0.0,Focus,gyr,500.0
case1,0.01204060880429513,0.3,Focus,gyr,500.0
case1,0.01206795126016953,0.9,Focus,gyr,500.0
case1,0.010325836636838333,0.0,Focus,gyr,1000.0
case1,0.010381141149541756,0.3,Focus,gyr,1000.0
case1,0.010284879167024544,0.9,Focus,gyr,1000.0
case1,0.009654274426059272,0.0,Focus,gyr,1500.0
case1,0.00965022607465997,0.3,Focus,gyr,1500.0
case1,0.00964371730243373,0.9,Focus,gyr,1500.0
case1,0.01718251437889645,0.0,Reacton,acc,50.0
case1,0.017150166842989565,0.3,Reacton,acc,50.0
case1,0.01721343238300918,0.9,Reacton,acc,50.0
case1,0.013073465323506245,0.0,Reacton,acc,200.0
